timestamp,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz
200455.647501,1.011188,0.995710,0.979927,-0.010149,-0.008067,-0.341833,0.999998,0.001361,-0.001730,0.000000,0.477014,-0.468031,0.000839,0.080000,4.238841,-4.411335,0.005320
200455.697612,1.010681,0.995307,0.962836,-0.010661,-0.008470,-0.684186,0.999822,0.013284,-0.013429,0.000026,0.688971,-0.688583,0.000990,0.203131,0.426876,-0.564232,-0.002803
200455.747729,1.010148,0.994883,0.928626,-0.020762,-0.018462,-0.798787,0.999065,0.030496,-0.030631,0.000053,0.710340,-0.716768,0.000910,0.322437,-1.981894,1.992159,-0.001769
200455.797874,1.009109,0.993960,0.888687,-0.057306,-0.054849,-0.694412,0.997658,0.048223,-0.048518,0.000073,0.611271,-0.617136,0.000860,0.328301,-3.734238,3.709294,-0.003404
200455.848030,1.006244,0.991218,0.853966,-0.116158,-0.113352,-0.582638,0.995937,0.063454,-0.063895,0.000092,0.424579,-0.431651,0.000763,0.316726,-4.347167,4.382308,-0.003647
200456.058864,1.000293,0.978426,0.807632,-0.178118,-0.276271,-0.486752,0.997988,0.052974,-0.034812,-0.001400,-0.034719,-0.210786,-0.008142,0.261789,-0.875718,-0.499081,-0.418013
200456.108997,0.991387,0.964612,0.783295,-0.211876,-0.327484,-0.496354,0.997836,0.052107,-0.040059,-0.001912,-0.078570,-0.235729,-0.020024,0.276418,-1.492097,1.354830,-0.395503
200456.159156,0.980793,0.948238,0.758477,-0.252900,-0.380636,-0.479391,0.997682,0.050155,-0.045909,-0.002797,-0.153354,-0.167928,-0.031266,0.278427,-1.626128,2.191027,-0.344477
200456.209293,0.968148,0.929206,0.734507,-0.300276,-0.432104,-0.459053,0.997663,0.046353,-0.050046,-0.003964,-0.234860,-0.058195,-0.041057,0.275069,-1.375657,2.397963,-0.293188
200456.259440,0.953134,0.907601,0.711555,-0.351331,-0.479015,-0.444906,0.997839,0.040540,-0.051426,-0.005349,-0.303733,0.062069,-0.049391,0.271080,-0.921299,2.197217,-0.243906
200456.464932,0.935731,0.874370,0.639980,-0.188993,-0.326867,-0.417149,0.999505,0.027520,-0.013746,-0.006543,-0.007581,-0.223477,-0.004155,0.258921,-0.642174,-1.547614,-0.117395
