timestamp,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
200723.362553,1.006498,1.012810,1.043508,-0.011131,-0.011154,-0.009605,0.999996,0.001712,-0.002049,0.000046,-0.001065,0.001452,0.000000
200723.412693,1.006442,1.012708,1.043193,-0.010918,-0.010773,-0.001356,0.999997,0.001342,-0.001863,0.000046,-0.070972,0.032640,0.000000
200723.462813,1.006411,1.012656,1.044636,-0.010254,-0.009445,0.041077,0.999999,-0.000106,-0.001179,0.000044,-0.042951,0.016976,-0.001106
200723.512984,1.006440,1.012725,1.047189,-0.009056,-0.006966,0.053040,0.999999,-0.001021,-0.000877,0.000011,-0.023709,0.000324,-0.003260
200723.563157,1.006534,1.012942,1.048620,-0.007694,-0.003712,0.015839,0.999998,-0.001470,-0.000941,-0.000125,-0.002836,-0.010670,-0.010482
200723.773761,1.007192,1.015202,1.022755,-0.008087,0.005169,-0.179810,0.999991,0.001147,-0.003203,-0.002485,0.031924,-0.012783,-0.019107
200723.823889,1.007293,1.016072,1.013146,-0.009399,0.005074,-0.143677,0.999990,0.001667,-0.003059,-0.002832,-0.007124,0.031873,0.000557
200723.874051,1.007316,1.016808,1.011831,-0.010033,0.005260,0.021225,0.999993,0.001683,-0.002430,-0.002478,0.001067,0.026623,0.022635
200723.924157,1.007369,1.017614,1.014735,-0.009796,0.005615,0.076416,0.999995,0.001753,-0.001833,-0.001912,0.005360,0.014990,0.019345
200723.974273,1.007374,1.018311,1.017194,-0.009216,0.005684,0.044006,0.999996,0.001957,-0.001543,-0.001550,0.014564,0.005493,0.005403
200724.180594,1.007774,1.021023,0.996963,-0.008194,0.000661,-0.153687,0.999986,0.003829,-0.002227,-0.002915,0.011718,-0.004302,-0.016993
200724.230721,1.007883,1.021500,0.989648,-0.008232,-0.001440,-0.121277,0.999986,0.003704,-0.002057,-0.003244,-0.051712,0.035282,-0.001148
200724.280855,1.008003,1.021873,0.987277,-0.007664,-0.002605,-0.006500,0.999990,0.002728,-0.001419,-0.003119,-0.038588,0.018101,0.012604
200724.331005,1.008171,1.022207,0.988611,-0.006660,-0.002958,0.046173,0.999994,0.001820,-0.001020,-0.002788,-0.028737,0.011905,0.011624
200724.381128,1.008401,1.022551,0.989901,-0.005352,-0.002541,0.025711,0.999996,0.001183,-0.000802,-0.002594,-0.019737,-0.000287,0.000324
200724.581470,1.009738,1.024306,0.968160,-0.003809,0.000451,-0.159302,0.999983,0.001504,-0.002652,-0.004925,0.012783,-0.015953,-0.027697
200724.631589,1.010056,1.024811,0.960531,-0.004604,0.000562,-0.131470,0.999980,0.001692,-0.002820,-0.005462,-0.017487,0.024493,-0.003662
200724.681706,1.010335,1.025325,0.957652,-0.004993,0.000915,-0.018372,0.999982,0.001459,-0.002380,-0.005314,-0.006438,0.017078,0.017794
200724.731826,1.010606,1.025866,0.958518,-0.004986,0.001438,0.037170,0.999986,0.001338,-0.001977,-0.004826,-0.001016,0.012681,0.018476
200724.781964,1.010890,1.026435,0.959371,-0.004639,0.002012,0.018036,0.999988,0.001344,-0.001716,-0.004485,0.003236,0.003522,0.002224
200724.986210,1.012174,1.028839,0.934500,-0.005482,-0.000114,-0.162598,0.999962,0.003263,-0.002900,-0.007545,0.014880,-0.006383,-0.032316
200725.036323,1.012412,1.029282,0.927198,-0.006203,-0.001586,-0.114258,0.999959,0.003071,-0.002667,-0.008083,-0.030850,0.025703,0.002002
200725.086428,1.012619,1.029655,0.925011,-0.006344,-0.002357,-0.006466,0.999965,0.002399,-0.002099,-0.007750,-0.028362,0.023436,0.023248
