timestamp,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,acc_x,acc_y,acc_z
200723.362546,1.006143,1.012614,1.044598,-0.012115,-0.012504,-0.352089,0.999996,0.001748,-0.002083,0.000053,0.466608,-0.469023,-0.000445,0,0,0
200723.412667,1.005537,1.011989,1.026994,-0.012732,-0.013022,-0.694443,0.999815,0.013412,-0.013806,0.000045,0.684116,-0.683632,-0.000467,0,0,0
200723.462778,1.004901,1.011338,0.992271,-0.022162,-0.022184,-0.843583,0.999057,0.030504,-0.030883,0.000041,0.707622,-0.699392,-0.000335,0,0,0
200723.512948,1.003793,1.010228,0.950092,-0.059140,-0.058710,-0.737090,0.997669,0.048164,-0.048336,0.000045,0.600107,-0.588509,-0.000248,0,0,0
200723.563120,1.000836,1.007293,0.913238,-0.118000,-0.117366,-0.622953,0.996016,0.063118,-0.062999,0.000056,0.417324,-0.408670,-0.000212,0,0,0
200723.773756,1.006356,1.013297,1.044028,-0.006997,0.000105,-0.400458,0.999998,-0.001361,-0.001342,-0.000476,0.538131,-0.512252,0.000071,0,0,0
200723.823857,1.006006,1.013303,1.024005,-0.007394,0.000508,-0.742811,0.999827,0.012084,-0.014152,-0.000439,0.760005,-0.723386,0.000292,0,0,0
200723.874027,1.005636,1.013328,0.986865,-0.018002,-0.008541,-0.858871,0.998998,0.031062,-0.032231,-0.000381,0.762459,-0.721394,0.000600,0,0,0
200723.924138,1.004736,1.012901,0.943921,-0.057427,-0.046507,-0.739836,0.997481,0.050080,-0.050238,-0.000312,0.626182,-0.587274,0.000901,0,0,0
200723.974251,1.001865,1.010576,0.906929,-0.119551,-0.108396,-0.616912,0.995730,0.065674,-0.064874,-0.000238,0.417396,-0.384767,0.001148,0,0,0
200724.180589,1.007059,1.019383,1.014529,-0.008967,0.004655,-0.378121,0.999995,0.002419,-0.001576,-0.001564,0.480155,-0.517885,-0.000443,0,0,0
200724.230693,1.006611,1.019615,0.995623,-0.009435,0.003939,-0.720475,0.999789,0.014400,-0.014539,-0.001588,0.711439,-0.718921,-0.004101,0,0,0
200724.280813,1.006139,1.019812,0.959599,-0.020518,-0.007003,-0.830697,0.998952,0.032145,-0.032525,-0.001690,0.732965,-0.708083,-0.007981,0,0,0
200724.330972,1.005113,1.019462,0.918064,-0.060008,-0.045900,-0.717034,0.997464,0.050410,-0.050217,-0.001862,0.610809,-0.570133,-0.011346,0,0,0
200724.381104,1.002113,1.017167,0.882213,-0.121840,-0.107739,-0.597711,0.995760,0.065615,-0.064434,-0.002096,0.412006,-0.369805,-0.014109,0,0,0
200724.581461,1.008491,1.022850,0.986628,-0.004334,-0.001853,-0.382330,0.999995,0.000855,-0.001003,-0.002723,0.487455,-0.529901,-0.008699,0,0,0
200724.631568,1.008274,1.022757,0.967512,-0.004632,-0.002105,-0.724683,0.999809,0.013004,-0.014281,-0.002939,0.731232,-0.724652,-0.021394,0,0,0
200724.681684,1.008043,1.022652,0.931278,-0.016048,-0.012439,-0.816765,0.998980,0.031225,-0.032430,-0.003447,0.753173,-0.709175,-0.033405,0,0,0
200724.731804,1.007240,1.022030,0.890439,-0.055608,-0.050267,-0.701200,0.997481,0.049984,-0.050163,-0.004223,0.628986,-0.572712,-0.043798,0,0,0
200724.781916,1.004460,1.019516,0.855379,-0.117619,-0.111536,-0.580841,0.995746,0.065649,-0.064442,-0.005241,0.427517,-0.373781,-0.052795,0,0,0
