timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz,acc_x,acc_y,acc_z
475257.956409,0,1.006215,0.994844,1.829819,-0.081060,-0.075978,-1.212063,0.995888,0.063923,-0.064202,0.000069,0.494121,-0.491740,0.000223,0.346780,-4.267014,4.209112,-0.001224,-1.642281,-1.635378,2.822875
475258.006401,0,1.002162,0.991045,1.769217,-0.160283,-0.154866,-1.091743,0.994158,0.076214,-0.076432,0.000082,0.254992,-0.254235,0.000186,0.331274,-4.969266,4.945770,-0.001298,-1.864446,-1.859423,2.173534
475258.056395,0,0.994147,0.983301,1.714628,-0.248545,-0.242889,-1.013767,0.993146,0.082548,-0.082747,0.000089,0.010204,-0.010037,0.000150,0.308157,-4.868991,4.861313,-0.001273,-1.875717,-1.871536,1.291399
475258.106404,0,0.981720,0.971157,1.663941,-0.337590,-0.331736,-0.976808,0.993104,0.082801,-0.082997,0.000093,-0.210515,0.210674,0.000117,0.287274,-4.250135,4.252668,-0.001101,-1.753796,-1.749989,0.537312
475258.156388,0,0.964841,0.954571,1.615102,-0.422260,-0.416221,-0.967825,0.993949,0.077572,-0.077765,0.000096,-0.389308,0.389788,0.000091,0.273757,-3.332055,3.339945,-0.000860,-1.567252,-1.563658,0.084478
475258.206391,0,0.943729,0.933761,1.566712,-0.499514,-0.493299,-0.970756,0.995368,0.067891,-0.068074,0.000097,-0.517389,0.518345,0.000071,0.268384,-2.282880,2.293082,-0.000628,-1.346938,-1.343567,-0.053626
475258.256396,0,0.918752,0.909095,1.518172,-0.567020,-0.560636,-0.972247,0.996961,0.055005,-0.055167,0.000098,-0.592794,0.594266,0.000057,0.269308,-1.227640,1.238072,-0.000456,-1.097068,-1.094052,0.043297
475258.306387,0,0.890401,0.881063,1.469560,-0.622479,-0.615942,-0.964244,0.998376,0.040220,-0.040349,0.000099,-0.618516,0.620458,0.000046,0.273701,-0.256392,0.265493,-0.000353,-0.816626,-0.814181,0.261257
475258.356402,0,0.859278,0.850267,1.421349,-0.663819,-0.657159,-0.944173,0.999384,0.024775,-0.024858,0.000100,-0.600987,0.603293,0.000037,0.278949,0.570211,-0.563561,-0.000307,-0.513276,-0.511655,0.496003
475258.406403,0,0.826086,0.817408,1.374139,-0.689721,-0.682978,-0.913623,0.999905,0.009755,-0.009784,0.000101,-0.548732,0.551254,0.000029,0.283256,1.216931,-1.213401,-0.000295,-0.205252,-0.204688,0.676969
475258.456442,0,0.791586,0.783245,1.328440,-0.700024,-0.693253,-0.876450,0.999984,-0.003968,0.003999,0.000102,-0.471208,0.473783,0.000020,0.285756,1.670237,-1.670050,-0.000298,0.084638,0.083990,0.772890
475258.506395,0,0.756599,0.748597,1.284635,-0.695783,-0.689045,-0.837084,0.999751,-0.015742,0.015835,0.000102,-0.378038,0.380504,0.000012,0.286352,1.934241,-1.937239,-0.000298,0.335769,0.333859,0.785068
475258.556398,0,0.721811,0.714145,1.242782,-0.679043,-0.672400,-0.799115,0.999361,-0.025189,0.025342,0.000103,-0.277948,0.280164,0.000004,0.285446,2.026304,-2.032033,-0.000287,0.535438,0.532315,0.735066
475258.606401,0,0.687857,0.680524,1.202824,-0.652406,-0.645918,-0.764818,0.998960,-0.032133,0.032340,0.000102,-0.178599,0.180452,-0.000004,0.283657,1.972648,-1.980460,-0.000263,0.678732,0.674528,0.652146
475258.656386,0,0.655240,0.648231,1.164587,-0.618663,-0.612384,-0.735010,0.998651,-0.036592,0.036845,0.000102,-0.086154,0.087566,-0.000011,0.281603,1.804345,-1.813499,-0.000227,0.767446,0.762347,0.563488
475258.706412,0,0.624301,0.617606,1.127829,-0.580475,-0.574449,-0.709342,0.998487,-0.038744,0.039031,0.000101,-0.005114,0.006047,-0.000016,0.279750,1.553973,-1.563717,-0.000186,0.807497,0.801721,0.488420
475258.756378,0,0.595284,0.588890,1.092370,-0.540259,-0.534521,-0.686815,0.998476,-0.038871,0.039182,0.000099,0.061519,-0.061069,-0.000021,0.278352,1.253018,-1.262655,-0.000143,0.806565,0.800338,0.436541
475258.806405,0,0.568268,0.562161,1.058026,-0.500020,-0.494593,-0.666182,0.998593,-0.037335,0.037657,0.000098,0.112317,-0.112324,-0.000024,0.277467,0.930019,-0.938956,-0.000105,0.772809,0.766356,0.408776
475258.856401,0,0.543266,0.537430,1.024715,-0.461425,-0.456320,-0.646367,0.998796,-0.034531,0.034853,0.000096,0.147046,-0.147456,-0.000026,0.277007,0.609356,-0.617126,-0.000075,0.714217,0.707753,0.400119
475258.906400,0,0.520195,0.514615,0.992398,-0.425733,-0.420951,-0.626630,0.999038,-0.030858,0.031171,0.000095,0.166542,-0.167287,-0.000028,0.276812,0.310567,-0.316848,-0.000054,0.638471,0.632190,0.402836
475258.956396,0,0.498909,0.493568,0.961067,-0.393818,-0.389350,-0.606624,0.999279,-0.026698,0.026993,0.000093,0.172434,-0.173431,-0.000029,0.276716,0.048111,-0.052721,-0.000042,0.552834,0.546901,0.409205
475259.006399,0,0.479218,0.474100,0.930736,-0.366186,-0.362014,-0.586341,0.999492,-0.022390,0.022660,0.000092,0.166885,-0.168050,-0.000030,0.276591,-0.168529,0.165638,-0.000038,0.463986,0.458532,0.413321
475259.056397,0,0.460908,0.455998,0.901417,-0.342999,-0.339100,-0.565992,0.999664,-0.018219,0.018461,0.000091,0.152365,-0.153614,-0.000031,0.276362,-0.334462,0.333224,-0.000041,0.377753,0.372867,0.411857
