timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
56121.971656,0,1.004698,0.999287,2.983516,-0.011551,-0.009720,0.000487,0.999994,0.002293,-0.002422,0.000007,0.000680,-0.000040,0.000000
56122.021642,0,1.004671,0.999321,2.980742,-0.011963,-0.010468,-0.116882,0.999981,0.004914,-0.003840,-0.000001,0.305978,-0.163625,-0.002134
56122.071644,0,1.004655,0.999354,2.961987,-0.020676,-0.024567,-0.478027,0.999787,0.017070,-0.011561,-0.000034,0.895572,-0.667043,0.006920
56122.121636,0,1.004569,0.999234,2.927078,-0.058350,-0.073303,-0.822266,0.998871,0.037712,-0.028889,0.000190,0.907026,-0.814851,0.018152
56122.171635,0,1.004067,0.998575,2.877411,-0.124573,-0.154053,-1.124023,0.997234,0.058004,-0.046467,0.000551,0.923388,-0.742856,0.015928
56122.221635,0,1.002783,0.996924,2.806542,-0.210938,-0.266113,-1.406250,0.995056,0.078047,-0.061413,0.000782,0.896117,-0.638681,-0.001020
56122.271642,0,1.000053,0.993421,2.718809,-0.296875,-0.383789,-1.592773,0.993408,0.090960,-0.069763,0.000483,0.318523,-0.230302,-0.069813
56122.321639,0,0.993948,0.985442,2.634630,-0.360107,-0.484619,-1.425781,0.992838,0.096354,-0.070609,-0.001817,0.086107,-0.026027,-0.140854
56122.371638,0,0.983559,0.971489,2.560830,-0.413086,-0.578125,-1.226562,0.992696,0.098676,-0.069195,-0.005366,0.099743,-0.156262,-0.151353
56122.421644,0,0.971004,0.954321,2.488887,-0.464844,-0.659668,-1.215820,0.992780,0.097822,-0.068890,-0.008543,-0.088903,-0.077313,-0.074722
56122.471632,0,0.955350,0.932863,2.410568,-0.505371,-0.721191,-1.264648,0.993778,0.090773,-0.063859,-0.009411,-0.449968,0.178078,0.026708
56122.521641,0,0.938092,0.909112,2.334295,-0.523438,-0.747559,-1.269531,0.995599,0.076739,-0.053226,-0.007851,-0.709040,0.269981,0.096402
56122.571626,0,0.916466,0.879256,2.250493,-0.552734,-0.772461,-1.293945,0.996914,0.063099,-0.046379,-0.005477,-0.662680,0.227438,0.109424
56122.621634,0,0.895225,0.849977,2.175757,-0.558105,-0.761719,-1.250000,0.998138,0.047995,-0.037556,-0.002555,-0.740129,0.244892,0.125241
