timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz,acc_x,acc_y,acc_z
56121.971694,0,1.004844,0.999090,2.983279,-0.011253,-0.009598,0.000642,0.999995,0.002173,-0.002395,0.000007,0.000992,-0.001929,0.000000,0.080000,9.884675,-9.869454,0.000065,-0.014193,-0.012879,-6.847099
56122.021677,0,1.004282,0.998610,2.983311,-0.011963,-0.010242,-0.341713,0.999995,0.002198,-0.002443,0.000007,0.495226,-0.495402,0.000002,0.080000,5.134015,-5.153779,0.000050,-0.014478,-0.013025,-6.847101
56122.071675,0,1.003684,0.998098,2.966225,-0.012687,-0.010893,-0.684068,0.999784,0.014576,-0.014826,0.000010,0.751926,-0.753091,0.000003,0.080000,1.311982,-1.315238,0.001322,-0.087837,-0.086361,-6.849599
56122.121669,0,1.003049,0.997554,2.932022,-0.017079,-0.015211,-1.026548,0.998877,0.033359,-0.033637,0.000014,0.817526,-0.818853,0.000041,0.080000,-1.731028,1.764631,0.001922,-0.199104,-0.197464,-6.860336
56122.171667,0,1.002195,0.996793,2.880694,-0.027034,-0.025084,-1.369564,0.997090,0.053752,-0.054062,0.000020,0.730975,-0.730620,0.000095,0.080000,-4.124108,4.188233,0.001223,-0.319431,-0.317609,-6.881479
56122.221667,0,1.000844,0.995539,2.812216,-0.043006,-0.040965,-1.713638,0.994788,0.071949,-0.072250,0.000028,0.524773,-0.521206,0.000130,0.258082,-5.446715,5.433444,-0.000631,-1.373988,-1.368340,-0.450161
56122.271670,0,0.998693,0.993491,2.726534,-0.111705,-0.109382,-1.736146,0.992733,0.084986,-0.085198,0.000042,0.252439,-0.249531,0.000112,0.330613,-5.555506,5.527031,-0.000186,-2.071235,-2.066254,2.080277
56122.321672,0,0.993108,0.988022,2.639727,-0.215267,-0.212694,-1.632133,0.991626,0.091247,-0.091387,0.000052,-0.025335,0.026822,0.000107,0.304175,-4.954845,4.928675,0.000086,-2.041743,-2.038833,1.079977
56122.371665,0,0.982345,0.977387,2.558120,-0.317354,-0.314636,-1.578134,0.991745,0.090619,-0.090723,0.000058,-0.273077,0.273255,0.000109,0.285767,-3.899146,3.896721,-0.000419,-1.904446,-1.902496,0.425925
56122.421674,0,0.966477,0.961655,2.479214,-0.412576,-0.409761,-1.556837,0.992937,0.083844,-0.083944,0.000061,-0.468036,0.468090,0.000098,0.277507,-2.660750,2.668028,-0.000644,-1.713272,-1.711431,0.178670
56122.471665,0,0.945848,0.941167,2.401372,-0.498240,-0.495332,-1.547904,0.994764,0.072215,-0.072316,0.000062,-0.601075,0.601490,0.000079,0.277518,-1.407982,1.416606,-0.000633,-1.478710,-1.476832,0.253732
56122.521676,0,0.920936,0.916400,2.323977,-0.572175,-0.569174,-1.535217,0.996711,0.057253,-0.057345,0.000063,-0.671476,0.672319,0.000061,0.282202,-0.258187,0.265001,-0.000542,-1.194721,-1.192942,0.504665
56122.571649,0,0.892328,0.887942,2.247216,-0.631911,-0.628821,-1.509984,0.998355,0.040508,-0.040582,0.000064,-0.684387,0.685567,0.000046,0.288132,0.710337,-0.706220,-0.000445,-0.864674,-0.863210,0.791391
56122.621673,0,0.860732,0.856501,2.171717,-0.675145,-0.671982,-1.470415,0.999450,0.023419,-0.023466,0.000065,-0.648871,0.650255,0.000033,0.292964,1.453489,-1.452044,-0.000364,-0.508915,-0.507967,1.016654
56122.671668,0,0.826975,0.822902,2.098196,-0.700591,-0.697380,-1.419582,0.999948,0.007203,-0.007217,0.000066,-0.576197,0.577652,0.000023,0.295603,1.956414,-1.957270,-0.000300,-0.158017,-0.157724,1.136000
56122.721706,0,0.791945,0.788033,2.027217,-0.708492,-0.705266,-1.362782,0.999948,-0.007201,0.007221,0.000067,-0.478377,0.479788,0.000014,0.295970,2.227661,-2.230339,-0.000249,0.158285,0.157866,1.149559
56122.771657,0,0.756521,0.752769,1.959078,-0.700577,-0.697373,-1.305304,0.999632,-0.019157,0.019211,0.000067,-0.366994,0.368271,0.000007,0.294604,2.292770,-2.296771,-0.000206,0.419054,0.417938,1.085187
56122.821693,0,0.721492,0.717901,1.893812,-0.679625,-0.676476,-1.251045,0.999195,-0.028327,0.028412,0.000067,-0.252356,0.253432,0.000001,0.292294,2.187964,-2.192810,-0.000169,0.614613,0.612870,0.980836
56122.871664,0,0.687511,0.684077,1.831260,-0.648894,-0.645832,-1.202003,0.998796,-0.034630,0.034740,0.000067,-0.142958,0.143791,-0.000003,0.289781,1.954576,-1.959823,-0.000138,0.744765,0.742498,0.870981
56122.921656,0,0.655066,0.651785,1.771160,-0.611656,-0.608707,-1.158454,0.998535,-0.038199,0.038330,0.000067,-0.045229,0.045800,-0.000007,0.287589,1.634576,-1.639831,-0.000113,0.815292,0.812620,0.779054
56122.971663,0,0.624483,0.621350,1.713237,-0.570891,-0.568077,-1.119501,0.998446,-0.039329,0.039473,0.000066,0.036500,-0.036191,-0.000011,0.285965,1.267284,-1.272217,-0.000094,0.834793,0.831840,0.715513
56123.021665,0,0.595938,0.592946,1.657262,-0.529151,-0.526484,-1.083725,0.998517,-0.038417,0.038570,0.000065,0.099864,-0.099802,-0.000013,0.284918,0.887162,-0.891514,-0.000082,0.812760,0.809650,0.679955
56123.071666,0,0.569481,0.566622,1.603076,-0.488513,-0.486002,-1.049728,0.998703,-0.035924,0.036079,0.000065,0.144222,-0.144378,-0.000016,0.284304,0.522500,-0.526090,-0.000074,0.758765,0.755614,0.665195
56123.121661,0,0.545055,0.542322,1.550590,-0.450575,-0.448221,-1.016468,0.998950,-0.032323,0.032474,0.000064,0.170347,-0.170682,-0.000018,0.283924,0.194829,-0.197551,-0.000070,0.682206,0.679120,0.661560
56123.171677,0,0.522526,0.519911,1.499766,-0.416465,-0.414265,-0.983390,0.999208,-0.028068,0.028211,0.000063,0.180088,-0.180560,-0.000020,0.283594,-0.081117,0.079299,-0.000068,0.592117,0.589187,0.660231
56123.221663,0,0.501703,0.499197,1.450597,-0.386859,-0.384806,-0.950378,0.999441,-0.023568,0.023700,0.000062,0.176032,-0.176595,-0.000022,0.283192,-0.296988,0.296048,-0.000067,0.496853,0.494149,0.655143
56123.271675,0,0.482360,0.479957,1.403078,-0.362016,-0.360099,-0.917621,0.999630,-0.019169,0.019288,0.000061,0.161183,-0.161793,-0.000023,0.282663,-0.450081,0.449942,-0.000067,0.403670,0.401242,0.643515
56123.321644,0,0.464259,0.461952,1.357197,-0.341833,-0.340036,-0.885445,0.999769,-0.015141,0.015244,0.000061,0.138679,-0.139296,-0.000025,0.282015,-0.542389,0.542937,-0.000066,0.318360,0.316235,0.625352
56123.371648,0,0.447168,0.444950,1.312925,-0.325915,-0.324225,-0.854178,0.999863,-0.011674,0.011763,0.000060,0.111559,-0.112149,-0.000027,0.281291,-0.579533,0.580632,-0.000065,0.245044,0.243228,0.602450
56123.421661,0,0.430872,0.428739,1.270216,-0.313663,-0.312063,-0.824055,0.999920,-0.008885,0.008959,0.000059,0.082582,-0.083118,-0.000029,0.280546,-0.569673,0.571173,-0.000062,0.186163,0.184644,0.577296
