timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
478503.665045,0,-0.000067,0.000017,2.481225,0.000188,0.000061,0.000700,1.000000,0.000005,-0.000014,0.000000,0.001064,0.000000,0.000000
478503.764995,1,-0.000076,0.000037,2.464938,0.000174,0.001070,-0.385986,0.999999,-0.001067,0.000116,0.000000,-0.010167,0.001019,0.000000
478503.865074,2,-0.000077,0.000155,2.396163,0.001794,0.008179,-0.926270,0.999994,-0.003461,0.000814,-0.000129,0.003279,-0.007504,-0.001018
478503.965044,3,0.000038,0.000973,2.331461,0.002087,0.015572,-0.158813,0.999993,-0.003739,0.000296,-0.000068,0.012587,-0.012195,0.002131
478504.065037,4,0.000228,0.002790,2.309345,0.001431,0.022858,-0.504395,0.999990,-0.004322,-0.000657,0.000179,-0.327795,0.091698,0.019209
478504.165032,5,0.000384,0.005240,2.242247,0.000188,0.035980,-0.425293,0.999984,-0.005560,-0.000929,0.000499,0.072540,-0.023265,-0.010593
478504.265040,6,0.000346,0.008925,2.191803,-0.009262,0.080139,-0.722656,0.999569,-0.028774,-0.005808,-0.000283,0.396517,0.015621,-0.010925
478504.365029,7,-0.000537,0.016266,2.129040,-0.016312,0.108826,-0.165649,0.999832,-0.017928,-0.003638,0.001183,0.241892,0.073563,0.046463
478504.465036,8,-0.002550,0.028620,2.113239,-0.032806,0.204834,-0.275146,0.992993,-0.116488,-0.019588,0.003462,-1.440987,-0.251846,0.034583
478504.565035,8,-0.006916,0.053706,2.063905,-0.067322,0.365479,-0.373535,0.998086,-0.059755,-0.015379,0.004261,1.934043,0.251709,0.048065
478504.665037,8,-0.014337,0.089971,2.026177,-0.072021,0.329590,-0.354004,0.999510,0.030061,-0.001090,0.008654,1.288271,0.262208,0.070290
478504.765039,8,-0.021633,0.119524,1.988952,-0.048340,0.182617,-0.374268,0.997134,0.073488,0.013691,0.011693,0.246937,0.213530,0.030356
478504.865023,8,-0.025968,0.134890,1.951472,-0.004730,0.033783,-0.356689,0.997185,0.069823,0.023699,0.013595,-0.449968,0.074858,0.011820
