timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz,acc_x,acc_y,acc_z
341203.347297,0,-0.000426,-0.001893,2.418933,-0.001246,-0.001653,-0.402544,0.999997,0.002026,-0.001055,0.000023,0.031793,-0.016146,0.000371,0.242648,0.138805,-0.057500,0.002956,-0.018966,-0.036419,-0.823119
341203.447278,0,-0.000857,-0.002376,2.378677,-0.004547,-0.005943,-0.438972,0.999991,0.003745,-0.001943,0.000047,0.040524,-0.020291,0.000544,0.264885,0.046398,-0.028714,0.003106,-0.038112,-0.073488,0.000224
341203.547277,1,-0.000106,-0.004029,2.410985,-0.002555,-0.003876,-0.466822,0.999993,0.003218,-0.001907,-0.000005,0.045081,-0.026879,-0.000063,0.264885,0.082934,-0.028503,0.000599,-0.037415,-0.063150,0.000280
341203.647262,2,-0.003129,-0.009907,2.350469,-0.022042,-0.064128,-0.550516,0.999978,0.005278,-0.002462,0.003246,-0.069492,0.007201,0.020616,0.262281,0.725326,-0.321709,-0.020200,-0.047490,-0.102688,-0.096560
341203.747290,3,-0.002908,-0.016215,2.280438,-0.016222,-0.060151,-0.495760,0.999996,0.002366,-0.000596,-0.001317,-0.021949,-0.004576,-0.021390,0.278831,0.755706,-0.363816,-0.003301,-0.012382,-0.048856,0.516935
341203.847291,4,-0.004772,-0.021742,2.257036,-0.023078,-0.077366,-0.465860,0.999900,0.012812,-0.005117,0.003134,0.127276,-0.058313,0.040868,0.253504,-0.203836,0.076327,-0.024246,-0.095322,-0.240858,-0.424548
341203.947298,5,-0.005382,-0.026918,2.188806,-0.010056,-0.071538,-0.554990,0.999984,0.004952,0.001684,-0.002354,-0.004671,0.025888,-0.068451,0.252507,0.307783,-0.255746,0.062873,0.031278,-0.092700,-0.458404
341204.047296,5,-0.005855,-0.033972,2.133306,-0.006669,-0.079387,-0.595093,0.999968,0.004786,0.002923,-0.005751,0.023807,0.002130,-0.064898,0.264891,0.113455,-0.112288,0.059744,0.056807,-0.094226,0.000160
341204.147304,5,-0.006623,-0.042980,2.073793,-0.002026,-0.089749,-0.595105,0.999937,0.006459,0.002536,-0.008854,0.035117,-0.009257,-0.061502,0.264891,0.113455,-0.112288,0.059744,0.048629,-0.127167,-0.000168
341204.247307,5,-0.006252,-0.051779,2.014282,0.001897,-0.100549,-0.595107,0.999893,0.008202,0.002062,-0.011917,0.045012,-0.019510,-0.058130,0.264945,0.001006,-0.021428,0.056325,0.038536,-0.161439,0.001373
341204.347308,5,-0.006437,-0.063520,1.954779,0.002552,-0.117808,-0.595038,0.999837,0.010434,0.000980,-0.014697,0.045022,-0.021842,-0.054927,0.264945,0.001006,-0.021428,0.056325,0.016212,-0.205027,0.000621
341204.447365,5,-0.005660,-0.075143,1.895275,0.002281,-0.135572,-0.594969,0.999768,0.012631,-0.000098,-0.017438,0.044328,-0.023513,-0.051748,0.265002,-0.055329,0.030877,0.053084,-0.006256,-0.247856,0.001773
341204.547325,5,-0.006250,-0.091076,1.835786,-0.002405,-0.160089,-0.594893,0.999695,0.014584,-0.001149,-0.019906,0.038717,-0.020572,-0.048730,0.265002,-0.055329,0.030877,0.053084,-0.028245,-0.285737,0.000704
341204.647296,5,-0.006052,-0.106982,1.776302,-0.007930,-0.184885,-0.594818,0.999613,0.016451,-0.002142,-0.022336,0.032790,-0.017257,-0.045737,0.265057,-0.080906,0.060208,0.049681,-0.049261,-0.321929,0.001537
341204.747330,5,-0.008065,-0.128376,1.716823,-0.017035,-0.214730,-0.594756,0.999539,0.017725,-0.002739,-0.024506,0.024658,-0.011320,-0.042912,0.265057,-0.080906,0.060208,0.049681,-0.062273,-0.346541,0.000624
341204.847333,5,-0.009411,-0.149794,1.657349,-0.026711,-0.244502,-0.594695,0.999461,0.018895,-0.003246,-0.026639,0.016425,-0.005139,-0.040107,0.265088,-0.089512,0.079135,0.047056,-0.073585,-0.369128,0.000863
341204.947340,5,-0.013485,-0.177465,1.597882,-0.037930,-0.276736,-0.594649,0.999401,0.019333,-0.003134,-0.028523,0.007478,0.002750,-0.037431,0.265088,-0.089512,0.079135,0.047056,-0.072324,-0.377652,0.000548
341205.047340,5,-0.017008,-0.205081,1.538413,-0.049394,-0.308563,-0.594605,0.999341,0.019682,-0.002932,-0.030373,-0.001076,0.010408,-0.034759,0.265084,-0.058497,0.060344,0.046691,-0.069267,-0.384462,0.000137
341205.147343,5,-0.023290,-0.239181,1.478954,-0.059791,-0.340176,-0.594574,0.999298,0.019403,-0.002106,-0.031979,-0.006887,0.016457,-0.032104,0.265084,-0.058497,0.060344,0.046691,-0.053508,-0.379400,0.000433
341205.247346,5,-0.029031,-0.273119,1.419492,-0.070078,-0.371100,-0.594544,0.999255,0.019030,-0.001163,-0.033551,-0.013189,0.023285,-0.029486,0.265055,-0.097808,0.122008,0.041589,-0.035347,-0.372588,-0.000287
341205.347332,5,-0.037079,-0.313273,1.360039,-0.076647,-0.399642,-0.594519,0.999229,0.018006,0.000598,-0.034890,-0.022900,0.035530,-0.027122,0.265055,-0.097808,0.122008,0.041589,-0.000597,-0.353660,0.000477
341205.447367,5,-0.044508,-0.353102,1.300577,-0.082607,-0.427106,-0.594494,0.999199,0.016847,0.002470,-0.036201,-0.032929,0.046819,-0.024846,0.265012,-0.123199,0.045532,0.029148,0.036479,-0.332214,-0.000436
341205.547354,5,-0.053126,-0.398394,1.241128,-0.081229,-0.449248,-0.594474,0.999181,0.014758,0.005110,-0.037321,-0.045159,0.051449,-0.023189,0.265012,-0.123199,0.045532,0.029148,0.089424,-0.293206,0.000467
341205.647351,5,-0.060983,-0.443087,1.181676,-0.078975,-0.469824,-0.594457,0.999153,0.012533,0.007784,-0.038419,-0.057021,0.055475,-0.021552,0.264982,-0.093879,-0.002705,0.026426,0.143198,-0.251668,-0.000123
341205.747370,5,-0.068326,-0.491822,1.122225,-0.067345,-0.481423,-0.594457,0.999124,0.009377,0.010686,-0.039369,-0.066324,0.055305,-0.020049,0.264982,-0.093879,-0.002705,0.026426,0.202316,-0.192145,0.000182
341205.847377,5,-0.074719,-0.539602,1.062777,-0.054808,-0.491075,-0.594458,0.999077,0.006146,0.013575,-0.040299,-0.074760,0.054856,-0.018560,0.265010,-0.024815,-0.024781,0.024611,0.261368,-0.131274,0.000838
341205.947386,5,-0.078665,-0.589314,1.003332,-0.032558,-0.488888,-0.594476,0.999018,0.002401,0.016372,-0.041096,-0.077172,0.052479,-0.017161,0.265010,-0.024815,-0.024781,0.024611,0.319129,-0.060288,-0.000178
341206.047385,5,-0.081501,-0.637667,0.943887,-0.009561,-0.484672,-0.594494,0.998939,-0.001339,0.019094,-0.041875,-0.078807,0.049217,-0.015787,0.265117,0.037054,-0.094764,0.021091,0.375672,0.010565,0.001944
341206.147398,5,-0.080009,-0.685464,0.884441,0.022161,-0.467732,-0.594515,0.998855,-0.005040,0.021299,-0.042541,-0.075055,0.039825,-0.014588,0.265117,0.037054,-0.094764,0.021091,0.422014,0.081062,-0.000269
341206.247371,5,-0.077292,-0.731509,0.824998,0.054204,-0.448926,-0.594536,0.998755,-0.008686,0.023386,-0.043190,-0.071078,0.030472,-0.013381,0.265262,0.055190,-0.091453,0.022108,0.466308,0.150616,0.002308
341206.347399,5,-0.068777,-0.774519,0.765546,0.092117,-0.418257,-0.594549,0.998667,-0.011960,0.024649,-0.043735,-0.065537,0.021388,-0.012124,0.265262,0.055190,-0.091453,0.022108,0.493961,0.213502,-0.000212
341206.447404,5,-0.059019,-0.815432,0.706098,0.129842,-0.386035,-0.594559,0.998573,-0.015131,0.025775,-0.044265,-0.059239,0.011953,-0.010883,0.265401,0.115365,-0.119026,0.019973,0.519166,0.274606,0.002091
341206.547409,5,-0.042628,-0.851103,0.646647,0.169979,-0.343855,-0.594541,0.998508,-0.017594,0.025956,-0.044695,-0.047701,0.000087,-0.009747,0.265401,0.115365,-0.119026,0.019973,0.524970,0.322572,0.000323
341206.647401,5,-0.025103,-0.884422,0.587194,0.209268,-0.300709,-0.594513,0.998447,-0.019867,0.025947,-0.045113,-0.035092,-0.012397,-0.008614,0.265466,0.200144,-0.167627,0.019707,0.527055,0.367042,0.001068
341206.747414,5,-0.000864,-0.910845,0.527750,0.246423,-0.251361,-0.594415,0.998446,-0.020818,0.024630,-0.045443,-0.015093,-0.029148,-0.007493,0.265466,0.200144,-0.167627,0.019707,0.502169,0.386715,0.001618
341206.847474,5,0.024251,-0.934805,0.468305,0.281957,-0.201924,-0.594307,0.998451,-0.021549,0.023169,-0.045762,0.004358,-0.044330,-0.006395,0.265394,0.156760,-0.043146,0.016604,0.474158,0.402128,-0.000265
341206.947427,5,0.055081,-0.951194,0.408876,0.310052,-0.152023,-0.594123,0.998510,-0.020765,0.020720,-0.046008,0.020015,-0.048652,-0.005451,0.265394,0.156760,-0.043146,0.016604,0.425504,0.388870,0.002501
341207.047400,5,0.086487,-0.965128,0.350873,0.336662,-0.102341,-0.579872,0.998567,-0.019817,0.018255,-0.046240,0.035011,-0.052065,-0.004419,0.295328,0.104677,0.028738,0.028986,0.418816,0.414428,1.112192
341207.147414,5,0.122178,-0.971590,0.302613,0.356837,-0.053990,-0.468342,0.998644,-0.017730,0.015675,-0.046379,0.045469,-0.049201,-0.002771,0.295328,0.104677,0.028738,0.028986,0.360423,0.371431,1.115821
341207.247435,5,0.158010,-0.975954,0.257175,0.376615,-0.005240,-0.314510,0.998710,-0.015578,0.013121,-0.046507,0.054372,-0.045796,-0.001287,0.385549,-0.018176,0.071418,0.006082,0.394929,0.426893,4.457732
341207.347503,5,0.196397,-0.974222,0.238227,0.388101,0.036672,-0.147339,0.998772,-0.012994,0.010852,-0.046567,0.053242,-0.040473,-0.001107,0.265329,-0.020222,0.056728,0.001355,0.224921,0.245143,0.011357
341207.447442,5,0.235347,-0.968908,0.223517,0.390016,0.068737,-0.147529,0.998818,-0.010495,0.008874,-0.046624,0.049994,-0.033508,-0.001033,0.263454,-0.052458,0.090631,0.001231,0.182515,0.196488,-0.056130
