solve_num,solve_time_ms,solve_iters,coord_mode,node,t,theta,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz,circle_center_x,circle_center_y,circle_center_z,circle_radius,circle_omega,circle_phi0,circle_t_abs,abs_x,abs_y,abs_z,abs_vx,abs_vy,abs_vz,abs_qw,abs_qx,abs_qy,abs_qz,abs_wx,abs_wy,abs_wz,fz,mx,my,mz,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,rel_qw,rel_qx,rel_qy,rel_qz,rel_wx,rel_wy,rel_wz
0,788.842287,722,absolute,0,0.000000,0.103434,1.993590,-0.160001,1.500000,0.064000,0.797436,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.000151,0.000027,2.981545,-0.000429,0.000068,0.000665,1.000000,0.000052,-0.000056,0.000000,-0.000006,0.001063,0.000000,0.177549,-0.310185,0.224662,0.009326,-1.993438,0.160028,1.481545,-0.064430,-0.797368,0.000665,1.000000,0.000052,-0.000056,0.000000,-0.000006,0.001063,0.000000
0,788.842287,722,absolute,1,0.100000,0.067426,1.998393,-0.080151,1.500000,0.032060,0.799357,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.000111,0.000040,2.964314,-0.000196,0.000374,-0.333854,1.000000,-0.000778,0.000600,0.000014,-0.032090,0.024300,0.000548,0.218493,-0.226782,0.154144,0.007643,-1.998282,0.080190,1.464314,-0.032256,-0.798984,-0.333854,1.000000,-0.000778,0.000600,0.000014,-0.032090,0.024300,0.000548
0,788.842287,722,absolute,2,0.200000,0.064474,2.000000,-0.000172,1.500000,0.000069,0.800000,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.000131,0.000108,2.937899,0.000969,0.001907,-0.449673,0.999996,-0.002118,0.001594,0.000038,-0.047382,0.034692,0.000841,0.246777,-0.173124,0.110129,0.007073,-1.999869,0.000280,1.437899,0.000901,-0.798093,-0.449673,0.999996,-0.002118,0.001594,0.000038,-0.047382,0.034692,0.000841
0,788.842287,722,absolute,3,0.300000,0.062329,1.998407,0.079807,1.500000,-0.031923,0.799363,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.000269,0.000332,2.907513,0.003552,0.005374,-0.492892,0.999989,-0.003825,0.002827,0.000069,-0.058546,0.041790,0.001101,0.264003,-0.127248,0.074832,0.006584,-1.998138,-0.079475,1.407513,0.035475,-0.793989,-0.492892,0.999989,-0.003825,0.002827,0.000069,-0.058546,0.041790,0.001101
0,788.842287,722,absolute,4,0.400000,0.059232,1.993617,0.159658,1.500000,-0.063863,0.797447,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.000615,0.000836,2.876729,0.007820,0.011198,-0.494937,0.999975,-0.005773,0.004202,0.000107,-0.066480,0.046451,0.001334,0.273307,-0.086209,0.044831,0.006084,-1.993002,-0.158822,1.376729,0.071683,-0.786248,-0.494937,0.999975,-0.005773,0.004202,0.000107,-0.066480,0.046451,0.001334
0,788.842287,722,absolute,5,0.500000,0.056946,1.985638,0.239254,1.500000,-0.095701,0.794255,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.001244,0.001728,2.847959,0.013698,0.019333,-0.476513,0.999954,-0.007818,0.005617,0.000150,-0.071589,0.049102,0.001539,0.277928,-0.049452,0.018814,0.005617,-1.984394,-0.237525,1.347959,0.109400,-0.774923,-0.476513,0.999954,-0.007818,0.005617,0.000150,-0.071589,0.049102,0.001539
0,788.842287,722,absolute,6,0.600000,0.056649,1.974482,0.318467,1.500000,-0.127387,0.789793,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.002227,0.003113,2.821603,0.021106,0.029709,-0.449111,0.999926,-0.009896,0.007030,0.000197,-0.074409,0.050168,0.001721,0.279791,-0.016530,-0.004000,0.005222,-1.972255,-0.315353,1.321603,0.148493,-0.760084,-0.449111,0.999926,-0.009896,0.007030,0.000197,-0.074409,0.050168,0.001721
0,788.842287,722,absolute,7,0.700000,0.059137,1.960167,0.397170,1.500000,-0.158868,0.784067,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.003672,0.005149,2.797043,0.030189,0.042571,-0.418016,0.999892,-0.012017,0.008448,0.000249,-0.075349,0.049936,0.001889,0.279863,0.013040,-0.024084,0.004924,-1.956495,-0.392021,1.297043,0.189057,-0.741496,-0.418016,0.999892,-0.012017,0.008448,0.000249,-0.075349,0.049936,0.001889
0,788.842287,722,absolute,8,0.800000,0.065334,1.942717,0.475238,1.500000,-0.190095,0.777087,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.005781,0.008129,2.773285,0.041436,0.058664,-0.385494,0.999850,-0.014233,0.009903,0.000309,-0.074582,0.048505,0.002054,0.278608,0.039703,-0.041726,0.004739,-1.936936,-0.467109,1.273285,0.231531,-0.718423,-0.385494,0.999850,-0.014233,0.009903,0.000309,-0.074582,0.048505,0.002054
0,788.842287,722,absolute,9,0.900000,0.076275,1.922158,0.552546,1.500000,-0.221018,0.768863,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.008947,0.012624,2.749170,0.055827,0.079479,-0.352726,0.999796,-0.016626,0.011443,0.000381,-0.071993,0.045771,0.002230,0.276299,0.063822,-0.057225,0.004679,-1.913211,-0.539922,1.249170,0.276845,-0.689384,-0.352726,0.999796,-0.016626,0.011443,0.000381,-0.071993,0.045771,0.002230
0,788.842287,722,absolute,10,1.000000,0.092795,1.898525,0.628970,1.500000,-0.251588,0.759410,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.013920,0.019730,2.723470,0.074993,0.107530,-0.321179,0.999728,-0.019278,0.013105,0.000472,-0.067131,0.041397,0.002433,0.273221,0.085561,-0.071079,0.004741,-1.884605,-0.609240,1.223470,0.326581,-0.651880,-0.321179,0.999728,-0.019278,0.013105,0.000472,-0.067131,0.041397,0.002433
0,788.842287,722,absolute,11,1.100000,0.114796,1.871854,0.704387,1.500000,-0.281755,0.748742,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.022073,0.031476,2.694946,0.101283,0.146545,-0.293658,0.999643,-0.022207,0.014873,0.000595,-0.059199,0.034789,0.002683,0.270093,0.104573,-0.083975,0.004889,-1.849781,-0.672912,1.194946,0.383038,-0.602196,-0.293658,0.999643,-0.022207,0.014873,0.000595,-0.059199,0.034789,0.002683
0,788.842287,722,absolute,12,1.200000,0.139923,1.842189,0.778678,1.500000,-0.311471,0.736876,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.035740,0.051368,2.662406,0.137472,0.201187,-0.273327,0.999543,-0.025258,0.016594,0.000766,-0.047201,0.025136,0.003002,0.268033,0.119454,-0.096208,0.005019,-1.806449,-0.727310,1.162406,0.448943,-0.535689,-0.273327,0.999543,-0.025258,0.016594,0.000766,-0.047201,0.025136,0.003002
0,788.842287,722,absolute,13,1.300000,0.160044,1.809577,0.851723,1.500000,-0.340689,0.723831,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.058293,0.084623,2.625117,0.185491,0.275401,-0.259755,0.999448,-0.027972,0.017884,0.001002,-0.030493,0.011661,0.003402,0.264244,0.127115,-0.106377,0.004907,-1.751283,-0.767100,1.125117,0.526180,-0.448430,-0.259755,0.999448,-0.027972,0.017884,0.001002,-0.030493,0.011661,0.003402
0,788.842287,722,absolute,14,1.400000,0.173070,1.774069,0.923406,1.500000,-0.369362,0.709628,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.092503,0.135881,2.582960,0.242136,0.366003,-0.267117,0.999397,-0.029592,0.018142,0.001315,-0.010150,-0.005373,0.003848,0.259270,0.126066,-0.110355,0.004489,-1.681567,-0.787525,1.082960,0.611498,-0.343625,-0.267117,0.999397,-0.029592,0.018142,0.001315,-0.010150,-0.005373,0.003848
0,788.842287,722,absolute,15,1.500000,0.179210,1.735724,0.993611,1.500000,-0.397444,0.694290,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.139528,0.207778,2.533278,0.300582,0.464792,-0.306983,0.999421,-0.029518,0.016862,0.001704,0.011676,-0.024471,0.004290,0.256093,0.116777,-0.105004,0.003814,-1.596195,-0.785833,1.033278,0.698026,-0.229497,-0.306983,0.999421,-0.029518,0.016862,0.001704,0.011676,-0.024471,0.004290
0,788.842287,722,absolute,16,1.600000,0.178863,1.694602,1.062227,1.500000,-0.424891,0.677841,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.198249,0.299914,2.472709,0.353035,0.562331,-0.368854,0.999523,-0.027522,0.013844,0.002162,0.032624,-0.043275,0.004678,0.255926,0.100658,-0.089759,0.002972,-1.496352,-0.762313,0.972709,0.777926,-0.115509,-0.368854,0.999523,-0.027522,0.013844,0.002162,0.032624,-0.043275,0.004678
0,788.842287,722,absolute,17,1.700000,0.174157,1.650768,1.129143,1.500000,-0.451657,0.660307,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,0.000000,1774555612.168837,0.265146,0.408508,2.401177,0.392414,0.649831,-0.430831,0.999671,-0.023784,0.009279,0.002669,0.050662,-0.059303,0.004981,0.256881,0.080088,-0.066712,0.002105,-1.385622,-0.720635,0.901177,0.844071,-0.010476,-0.430831,0.999671,-0.023784,0.009279,0.002669,0.050662,-0.059303,0.004981
