timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
70815.453419,0,-0.000037,-0.000101,3.987364,-0.000083,0.000000,0.000478,1.000000,-0.000066,0.000059,-0.000003,-0.000615,-0.000005,0.000000
70815.553403,0,-0.000043,-0.000108,3.976610,0.000046,0.000081,-0.298096,1.000000,-0.000114,0.000078,-0.000003,0.000000,0.000000,0.000000
70815.653410,0,-0.000041,-0.000103,3.944688,0.000005,0.000265,-0.203003,1.000000,-0.000113,-0.000032,-0.000003,0.001072,-0.001041,0.000000
70815.753411,0,-0.000050,-0.000077,3.932628,-0.000257,0.000371,-0.140381,1.000000,-0.000066,-0.000165,-0.000003,0.001065,-0.001136,0.000000
70815.853397,0,-0.000099,-0.000047,3.915679,-0.000892,0.000312,-0.190796,1.000000,-0.000007,-0.000329,-0.000003,0.001073,-0.000051,0.000000
70815.953423,0,-0.000221,-0.000028,3.896359,-0.001798,0.000176,-0.218994,1.000000,0.000002,-0.000406,0.000025,0.000000,0.001117,0.001065
70816.053394,0,-0.000429,-0.000018,3.872764,-0.002750,0.000116,-0.259033,1.000000,-0.000014,-0.000431,0.000037,0.000000,0.002082,0.001068
70816.153399,0,-0.000736,-0.000010,3.844323,-0.004513,0.000245,-0.338867,0.999999,-0.000110,-0.001007,0.000077,0.000042,-0.005671,0.001065
70816.253383,0,-0.001251,0.000020,3.802228,-0.012207,0.001322,-0.550781,0.999990,-0.000634,-0.004456,0.000126,-0.000331,-0.028004,0.002129
70816.353401,0,-0.002445,0.000129,3.738014,-0.034088,0.002047,-0.725586,0.999942,-0.000356,-0.010786,0.000713,0.018135,-0.023947,0.024424
70816.453409,0,-0.005459,0.000277,3.663966,-0.072205,-0.000488,-0.801758,0.999829,0.001051,-0.018366,0.001764,0.033083,0.008041,0.010806
70816.553435,0,-0.011560,0.000197,3.582260,-0.123718,-0.010818,-0.875977,0.999676,0.004500,-0.024936,0.002568,0.050928,0.067666,0.023214
70816.653398,0,-0.021957,-0.000747,3.495252,-0.183472,-0.034546,-0.904297,0.999494,0.010560,-0.029736,0.004075,0.056110,0.146717,0.029810
70816.753397,0,-0.037326,-0.003688,3.408167,-0.239502,-0.076172,-0.879395,0.999353,0.019135,-0.029923,0.005723,0.032009,0.228120,0.026930
70816.853395,0,-0.058182,-0.010503,3.327340,-0.276123,-0.131104,-0.737305,0.999364,0.026826,-0.022315,0.007334,-0.013039,0.289616,0.021220
70816.953407,0,-0.083091,-0.022990,3.263536,-0.287354,-0.184082,-0.541504,0.999534,0.027729,-0.009612,0.008380,-0.132263,0.313341,0.001332
70817.053391,0,-0.109023,-0.040938,3.216107,-0.271973,-0.219360,-0.424805,0.999774,0.018581,0.005337,0.008818,-0.286070,0.284434,0.007244
70817.153403,0,-0.133210,-0.062236,3.177427,-0.236572,-0.229980,-0.345947,0.999823,0.005400,0.015514,0.009122,-0.295070,0.145217,-0.008433
70817.253396,0,-0.153593,-0.084008,3.146263,-0.193848,-0.218872,-0.281982,0.999782,-0.005199,0.018240,0.008771,-0.201667,0.003939,-0.007457
70817.353420,0,-0.169831,-0.104148,3.120824,-0.156006,-0.195679,-0.230591,0.999808,-0.009478,0.014372,0.009343,-0.072199,-0.094152,0.028975
70817.453399,0,-0.182654,-0.121582,3.099863,-0.131470,-0.172363,-0.194336,0.999888,-0.007714,0.007338,0.010547,0.024885,-0.115014,0.010985
70817.553450,0,-0.193780,-0.137023,3.081633,-0.121094,-0.159424,-0.168335,0.999941,-0.001330,0.000893,0.010770,0.069643,-0.069302,0.000001
70817.653355,0,-0.204521,-0.151794,3.065570,-0.120667,-0.160522,-0.148804,0.999915,0.005858,-0.002612,0.011331,0.051780,-0.007960,0.023385
70817.753397,0,-0.215543,-0.167325,3.051117,-0.123291,-0.173462,-0.134155,0.999859,0.011199,-0.002508,0.012231,0.001939,0.055326,0.005637
70817.853399,0,-0.226782,-0.184636,3.037659,-0.122742,-0.193970,-0.127441,0.999831,0.013630,-0.000060,0.012335,-0.054985,0.079903,-0.001744
70817.953387,0,-0.237769,-0.204239,3.024740,-0.117310,-0.216919,-0.122986,0.999815,0.014047,0.002500,0.012889,-0.106424,0.065416,0.022362
70818.053400,0,-0.247884,-0.225951,3.012254,-0.107666,-0.236816,-0.120972,0.999827,0.011736,0.004289,0.013779,-0.130900,0.040906,0.004824
70818.153403,0,-0.256825,-0.249326,3.000066,-0.095520,-0.251465,-0.119568,0.999852,0.008894,0.004988,0.013851,-0.132468,0.017300,-0.003121
70818.253403,0,-0.264509,-0.273783,2.987981,-0.084167,-0.261719,-0.119019,0.999859,0.007709,0.004150,0.014328,-0.120878,-0.008245,0.022158
70818.353400,0,-0.271165,-0.299116,2.975994,-0.075684,-0.269531,-0.117798,0.999856,0.007146,0.002419,0.015187,-0.107038,-0.015186,0.004351
70818.453400,0,-0.277091,-0.324885,2.964119,-0.070801,-0.277100,-0.116516,0.999853,0.007834,0.000630,0.015259,-0.087676,-0.009272,-0.000992
70818.553402,0,-0.282608,-0.350934,2.952518,-0.068542,-0.284912,-0.114685,0.999834,0.009175,-0.000191,0.015753,-0.077449,0.010874,0.020317
70818.653404,0,-0.288037,-0.378134,2.940659,-0.067871,-0.296875,-0.115234,0.999804,0.010809,-0.000409,0.016555,-0.074381,0.020010,0.005054
70818.753396,0,-0.293464,-0.407091,2.928624,-0.067505,-0.313721,-0.112671,0.999776,0.012303,0.000017,0.017229,-0.103220,0.029879,0.020436
70818.853401,0,-0.298622,-0.437089,2.917068,-0.065430,-0.328369,-0.110107,0.999767,0.011891,0.000847,0.018020,-0.127218,0.031805,0.003345
70818.953403,0,-0.303532,-0.469081,2.905366,-0.061676,-0.342041,-0.111389,0.999777,0.010806,0.001395,0.018076,-0.134445,0.023453,-0.003196
70819.053403,0,-0.307924,-0.501844,2.893755,-0.057617,-0.354492,-0.110046,0.999773,0.010262,0.001749,0.018581,-0.142353,0.015050,0.021305
70819.153361,0,-0.311886,-0.536056,2.882256,-0.053864,-0.364502,-0.110229,0.999771,0.008862,0.001354,0.019440,-0.132059,0.001989,0.004585
70819.253406,0,-0.315425,-0.570986,2.870414,-0.050659,-0.373291,-0.117432,0.999774,0.008544,0.000912,0.019461,-0.131104,0.010022,-0.004297
70819.353408,0,-0.318668,-0.606587,2.857290,-0.048950,-0.380371,-0.139282,0.999768,0.008076,0.000247,0.019971,-0.145899,0.006196,0.021305
70819.453395,0,-0.321779,-0.643068,2.841035,-0.048950,-0.385498,-0.180420,0.999757,0.007240,-0.000540,0.020830,-0.137922,0.010840,0.004593
