timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz,acc_x,acc_y,acc_z
70815.453461,0,-0.000025,-0.000095,3.986711,0.000044,-0.000019,0.000496,1.000000,-0.000065,0.000048,-0.000050,0.000014,0.000000,0.000000,0.136839,0.001969,-0.050777,0.009003,0.000483,0.000661,-4.741874
70815.553435,0,-0.000023,-0.000095,3.980808,0.000063,0.000014,-0.236597,1.000000,-0.000064,0.000016,-0.000047,0.000112,-0.002539,0.000256,0.265182,-0.004052,-0.048104,0.008621,0.000312,0.001250,0.011549
70815.653444,0,-0.000020,-0.000092,3.968993,0.000037,0.000076,-0.236020,1.000000,-0.000063,-0.000078,-0.000037,-0.000090,-0.004944,0.000501,0.267847,-0.009891,-0.047646,0.009173,-0.001540,0.001257,0.110265
70815.753446,0,-0.000021,-0.000087,3.957330,-0.000111,0.000142,-0.230507,1.000000,-0.000072,-0.000231,-0.000022,-0.000585,-0.007326,0.000762,0.257268,-0.013249,-0.048236,0.011309,-0.004402,0.001369,-0.281559
70815.853432,0,-0.000034,-0.000078,3.945452,-0.000428,0.000220,-0.244585,1.000000,-0.000095,-0.000444,0.000002,-0.001247,-0.009738,0.001083,0.237651,-0.014522,-0.049330,0.014806,-0.007822,0.001667,-1.008098
70815.953460,0,-0.000067,-0.000065,3.931963,-0.000935,0.000320,-0.294990,1.000000,-0.000135,-0.000719,0.000034,-0.001972,-0.012205,0.001504,0.235044,-0.013572,-0.046908,0.018024,-0.012511,0.002349,-1.104672
70816.053428,0,-0.000231,-0.000020,3.898574,-0.002685,0.000642,-0.400984,0.999999,-0.000261,-0.001412,0.000130,-0.003272,-0.016706,0.002487,0.251650,-0.000365,-0.030387,0.018850,-0.026323,0.004859,-0.489664
70816.153428,0,-0.001432,0.000229,3.812521,-0.010948,0.002140,-0.495050,0.999994,-0.000578,-0.003297,0.000467,-0.003332,-0.022544,0.004545,0.263266,0.033112,0.005928,0.018463,-0.064296,0.011248,-0.059615
70816.253407,0,-0.005197,0.000903,3.712317,-0.028126,0.004602,-0.507008,0.999984,-0.000580,-0.005492,0.001028,0.003309,-0.021358,0.006645,0.264940,0.052160,0.032913,0.017786,-0.107782,0.011280,0.001992
70816.353434,0,-0.013236,0.001971,3.610952,-0.053440,0.005515,-0.506655,0.999972,0.000271,-0.007296,0.001800,0.013762,-0.014766,0.008667,0.264728,0.056230,0.048275,0.017116,-0.143065,-0.005563,-0.006311
70816.453440,0,-0.026945,0.002745,3.509492,-0.084300,0.000959,-0.507958,0.999959,0.002204,-0.008286,0.002778,0.025022,-0.005082,0.010613,0.265366,0.049340,0.054189,0.016463,-0.162740,-0.043781,0.016938
70816.553475,0,-0.047089,0.001701,3.408237,-0.117098,-0.013364,-0.504610,0.999945,0.005190,-0.008244,0.003959,0.034889,0.005809,0.012485,0.270013,0.035763,0.053085,0.015749,-0.164458,-0.104453,0.188571
70816.653432,0,-0.073680,-0.003549,3.311082,-0.148049,-0.041691,-0.466962,0.999920,0.009020,-0.007120,0.005335,0.042019,0.016504,0.014275,0.277974,0.020284,0.047803,0.014885,-0.145598,-0.186489,0.482598
70816.753430,0,-0.099791,-0.013224,3.240950,-0.169218,-0.078237,-0.387857,0.999884,0.012584,-0.005433,0.006604,0.045309,0.024429,0.015664,0.285264,0.003419,0.036771,0.013468,-0.113027,-0.266638,0.751356
70816.853429,0,-0.119173,-0.023638,3.202583,-0.180028,-0.110705,-0.304663,0.999850,0.015089,-0.003959,0.007527,0.045652,0.028566,0.016512,0.285192,-0.011588,0.022839,0.011720,-0.081232,-0.319343,0.747532
70816.953443,0,-0.128751,-0.029918,3.187585,-0.183868,-0.128167,-0.265343,0.999831,0.016274,-0.003189,0.007983,0.045023,0.029798,0.016863,0.277286,-0.024859,0.008471,0.010076,-0.062829,-0.334734,0.454198
70817.053422,0,-0.138017,-0.036754,3.174886,-0.186616,-0.145470,-0.242650,0.999811,0.017376,-0.002437,0.008423,0.043760,0.030250,0.017149,0.269285,-0.034675,-0.002094,0.008804,-0.045681,-0.346953,0.157371
70817.153434,0,-0.147398,-0.044470,3.162949,-0.188514,-0.163349,-0.234798,0.999789,0.018441,-0.001680,0.008871,0.042007,0.030173,0.017400,0.265151,-0.042613,-0.010468,0.007784,-0.029782,-0.362411,0.003676
