timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
67887.378815,0,-0.000001,-0.000075,2.983190,0.000003,0.000246,0.000598,1.000000,-0.000021,-0.000028,0.000000,0.001065,0.000000,0.000000
67887.478776,0,-0.000014,-0.000052,2.971434,-0.000085,0.000246,-0.249512,1.000000,-0.000007,-0.000023,0.000000,0.000000,0.001065,0.000000
67887.578787,0,-0.000026,-0.000040,2.945700,0.000495,-0.000326,-0.202881,1.000000,0.000418,0.000488,0.000000,0.004289,0.006392,0.000000
67887.678774,0,0.000069,-0.000133,2.927503,0.002556,-0.002205,-0.175659,0.999998,0.001277,0.001458,0.000000,0.007738,0.010567,0.000000
67887.778782,0,0.000451,-0.000484,2.908613,0.007225,-0.006359,-0.178345,0.999992,0.002658,0.003059,-0.000017,0.009869,0.014104,0.000000
67887.878767,0,0.001442,-0.001372,2.890610,0.015144,-0.013206,-0.161621,0.999980,0.004106,0.004839,-0.000017,0.001349,0.008096,0.000000
67887.978760,0,0.003362,-0.003050,2.873448,0.026062,-0.022278,-0.154053,0.999966,0.005230,0.006416,-0.000016,-0.010406,-0.004547,0.000000
67888.078765,0,0.006488,-0.005711,2.857264,0.039001,-0.032562,-0.140381,0.999956,0.005776,0.007346,0.000001,-0.026504,-0.021629,0.000049
67888.178755,0,0.010952,-0.009417,2.841884,0.052765,-0.043152,-0.138062,0.999950,0.006048,0.007938,0.000033,-0.033100,-0.032180,0.001067
67888.278752,0,0.016833,-0.014199,2.826772,0.067017,-0.053986,-0.133911,0.999945,0.006396,0.008335,0.000068,-0.034003,-0.038043,0.000000
67888.378743,0,0.024170,-0.020096,2.811661,0.081970,-0.065674,-0.139282,0.999931,0.007290,0.009177,0.000089,-0.032486,-0.038588,0.001101
67888.478743,0,0.032856,-0.027065,2.795947,0.098022,-0.078674,-0.147217,0.999890,0.009282,0.011549,0.000137,-0.031549,-0.025669,0.000211
67888.578731,0,0.043686,-0.035760,2.778449,0.121033,-0.097412,-0.162964,0.999800,0.012638,0.015477,0.000237,-0.013022,-0.004789,0.005369
67888.678723,0,0.057350,-0.046767,2.758204,0.156860,-0.127197,-0.189819,0.999576,0.018544,0.022453,0.000439,-0.027492,-0.006387,0.008373
67888.778722,0,0.075023,-0.061063,2.734878,0.208984,-0.169922,-0.215210,0.999142,0.026012,0.032204,0.000946,-0.058803,-0.022686,0.017283
67888.878712,0,0.098402,-0.079913,2.707681,0.282715,-0.228394,-0.237061,0.998387,0.034609,0.044946,0.002123,-0.098516,-0.026538,0.031958
67888.978714,0,0.129162,-0.104317,2.676794,0.384033,-0.304199,-0.249268,0.997200,0.043498,0.060693,0.004128,-0.201395,-0.110106,0.042917
67889.078699,0,0.171234,-0.136670,2.641462,0.508789,-0.390869,-0.239624,0.996007,0.048970,0.074351,0.006628,-0.331340,-0.240528,0.042065
67889.178702,0,0.226465,-0.177354,2.603374,0.647461,-0.477539,-0.228638,0.995520,0.047688,0.081151,0.008920,-0.445877,-0.382882,0.040736
67889.278696,0,0.295817,-0.225838,2.562841,0.785156,-0.548828,-0.226807,0.995959,0.038776,0.080288,0.010806,-0.547324,-0.529326,0.018646
67889.378693,0,0.379059,-0.280383,2.521303,0.909668,-0.590820,-0.234985,0.997106,0.023277,0.071461,0.011472,-0.603775,-0.675770,-0.022209
67889.478680,0,0.474354,-0.338059,2.480388,1.002930,-0.592773,-0.269043,0.998507,0.004836,0.053393,0.010426,-0.564505,-0.793034,-0.028754
67889.578683,0,0.577909,-0.395339,2.441089,1.045898,-0.553711,-0.312988,0.999475,-0.014454,0.027586,0.008884,-0.440696,-0.784307,-0.051337
67889.678670,0,0.684724,-0.448729,2.404676,1.032227,-0.480957,-0.345459,0.999570,-0.028689,0.000516,0.006105,-0.268344,-0.712313,-0.072472
67889.778662,0,0.789729,-0.495811,2.371183,0.972168,-0.394531,-0.366455,0.999099,-0.035530,-0.023030,0.002918,-0.101925,-0.547324,-0.065177
67889.878664,0,0.888674,-0.535534,2.340249,0.885254,-0.312988,-0.357422,0.998609,-0.036671,-0.037879,0.000496,0.008480,-0.344157,-0.039713
67889.978651,0,0.979018,-0.567840,2.311757,0.789062,-0.240479,-0.330322,0.998476,-0.034912,-0.042738,-0.000660,0.057098,-0.175487,-0.010746
