solve_num,solve_time_ms,solve_iters,coord_mode,node,t,theta,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz,circle_center_x,circle_center_y,circle_center_z,circle_radius,circle_omega,circle_phi0,circle_t_abs,abs_x,abs_y,abs_z,abs_vx,abs_vy,abs_vz,abs_qw,abs_qx,abs_qy,abs_qz,abs_wx,abs_wy,abs_wz,fz,mx,my,mz,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,rel_qw,rel_qx,rel_qy,rel_qz,rel_wx,rel_wy,rel_wz
0,74.713900,41,absolute,0,0.000000,0.104710,0.810420,0.585849,0.200000,-0.234340,0.324168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.017031,0.024126,2.492188,-0.130908,0.394383,-0.286523,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.252729,-0.001543,0.002154,0.000482,-0.827451,-0.561723,2.292187,0.103431,0.070215,-0.286523,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,74.713900,41,absolute,1,0.104710,0.103996,0.810420,0.585849,0.200000,-0.234340,0.324168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030743,0.065428,2.459720,-0.130997,0.394517,-0.333609,1.000000,-0.000004,0.000006,0.000001,-0.000162,0.000226,0.000029,0.259606,-0.001874,0.001164,0.000480,-0.841163,-0.520421,2.259720,0.103342,0.070349,-0.333609,1.000000,-0.000004,0.000006,0.000001,-0.000162,0.000226,0.000029
0,74.713900,41,absolute,2,0.208706,0.103355,0.810420,0.585849,0.200000,-0.234340,0.324168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.044369,0.106463,2.423972,-0.131070,0.394665,-0.353883,1.000000,-0.000018,0.000021,0.000003,-0.000357,0.000347,0.000057,0.262961,-0.002075,0.000393,0.000479,-0.854789,-0.479386,2.223972,0.103270,0.070497,-0.353883,1.000000,-0.000018,0.000021,0.000003,-0.000357,0.000347,0.000057
0,74.713900,41,absolute,3,0.312061,0.102721,0.810420,0.585849,0.200000,-0.234340,0.324168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.057918,0.147262,2.387019,-0.131113,0.394845,-0.361192,1.000000,-0.000042,0.000040,0.000007,-0.000571,0.000387,0.000085,0.264561,-0.002115,-0.000132,0.000477,-0.868338,-0.438588,2.187019,0.103227,0.070677,-0.361192,1.000000,-0.000042,0.000040,0.000007,-0.000571,0.000387,0.000085
0,74.713900,41,absolute,4,0.414782,0.102116,0.810420,0.585849,0.200000,-0.234340,0.324168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.071386,0.187831,2.349857,-0.131121,0.395081,-0.362368,1.000000,-0.000077,0.000059,0.000012,-0.000788,0.000374,0.000113,0.265309,-0.002000,-0.000476,0.000476,-0.881806,-0.398018,2.149857,0.103219,0.070913,-0.362368,1.000000,-0.000077,0.000059,0.000012,-0.000788,0.000374,0.000113
0,74.713900,41,absolute,5,0.516898,0.101562,0.810420,0.585849,0.200000,-0.234340,0.324168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.084774,0.228190,2.312938,-0.131096,0.395392,-0.360708,1.000000,-0.000122,0.000077,0.000018,-0.000993,0.000325,0.000141,0.265636,-0.001740,-0.000695,0.000474,-0.895193,-0.357660,2.112938,0.103243,0.071224,-0.360708,1.000000,-0.000122,0.000077,0.000018,-0.000993,0.000325,0.000141
0,74.713900,41,absolute,6,0.618460,0.101070,0.810420,0.585849,0.200000,-0.234340,0.324168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.098085,0.268365,2.276450,-0.131044,0.395798,-0.357826,1.000000,-0.000177,0.000092,0.000026,-0.001169,0.000254,0.000168,0.265752,-0.001346,-0.000828,0.000472,-0.908505,-0.317484,2.076450,0.103295,0.071630,-0.357826,1.000000,-0.000177,0.000092,0.000026,-0.001169,0.000254,0.000168
0,74.713900,41,absolute,7,0.719530,0.100640,0.810420,0.585849,0.200000,-0.234340,0.324168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.111325,0.308393,2.240451,-0.130972,0.396315,-0.354526,1.000000,-0.000239,0.000103,0.000035,-0.001305,0.000171,0.000195,0.265760,-0.000825,-0.000903,0.000470,-0.921745,-0.277457,2.040451,0.103368,0.072147,-0.354526,1.000000,-0.000239,0.000103,0.000035,-0.001305,0.000171,0.000195
0,74.713900,41,absolute,8,0.820170,0.100271,0.810420,0.585849,0.200000,-0.234340,0.324168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.124501,0.348308,2.204939,-0.130887,0.396955,-0.351208,1.000000,-0.000307,0.000109,0.000046,-0.001388,0.000080,0.000222,0.265715,-0.000186,-0.000942,0.000468,-0.934921,-0.237541,2.004939,0.103452,0.072787,-0.351208,1.000000,-0.000307,0.000109,0.000046,-0.001388,0.000080,0.000222
0,74.713900,41,absolute,9,0.920440,0.099957,0.810420,0.585849,0.200000,-0.234340,0.324168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.137619,0.388148,2.169880,-0.130800,0.397724,-0.348070,1.000000,-0.000377,0.000110,0.000058,-0.001407,-0.000015,0.000249,0.265644,0.000562,-0.000958,0.000465,-0.948039,-0.197702,1.969880,0.103540,0.073556,-0.348070,1.000000,-0.000377,0.000110,0.000058,-0.001407,-0.000015,0.000249
