timestamp,solve_num,coord_mode,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,abs_x,abs_y,abs_z,abs_vx,abs_vy,abs_vz,abs_qw,abs_qx,abs_qy,abs_qz,abs_wx,abs_wy,abs_wz,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,rel_qw,rel_qx,rel_qy,rel_qz,rel_wx,rel_wy,rel_wz,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz
38233.130431,0,absolute,-0.000652,-0.000473,2.486328,0.000216,-0.000500,0.000441,1.000000,0.000006,-0.000002,0.000000,0.000000,-0.001065,0.000000,-0.000652,-0.000473,2.486328,0.000216,-0.000500,0.000441,1.000000,0.000006,-0.000002,0.000000,0.000000,-0.001065,0.000000,-0.243457,-0.236013,2.286328,0.388246,0.352337,0.000441,1.000000,0.000006,-0.000002,0.000000,0.000000,-0.001065,0.000000,0.242806,0.235540,0.200000,-0.388030,-0.352836,0.000000
38233.230455,0,absolute,-0.001426,-0.001242,2.472656,-0.059923,-0.058596,-0.263916,0.997059,0.067340,0.034082,-0.013317,0.852484,-0.948477,-0.256482,-0.001426,-0.001242,2.472656,-0.059923,-0.058596,-0.263916,0.997059,0.067340,0.034082,-0.013317,0.852484,-0.948477,-0.256482,-0.205229,-0.200768,2.272656,0.331681,0.308176,-0.263916,0.997059,0.067340,0.034082,-0.013317,0.852484,-0.948477,-0.256482,0.203803,0.199526,0.200000,-0.391605,-0.366771,0.000000
38233.330453,0,absolute,-0.012553,-0.011670,2.435547,-0.235032,-0.233338,-0.300049,0.991466,0.092986,0.086883,-0.028275,-0.162806,0.323704,0.077654,-0.012553,-0.011670,2.435547,-0.235032,-0.233338,-0.300049,0.991466,0.092986,0.086883,-0.028275,-0.162806,0.323704,0.077654,-0.177045,-0.173921,2.235547,0.159519,0.145016,-0.300049,0.991466,0.092986,0.086883,-0.028275,-0.162806,0.323704,0.077654,0.164492,0.162251,0.200000,-0.394551,-0.378354,0.000000
38233.430435,0,absolute,-0.041184,-0.039093,2.398438,-0.382603,-0.382218,-0.270508,0.994900,0.074795,0.066478,-0.012684,-0.657226,0.801761,0.176169,-0.041184,-0.039093,2.398438,-0.382603,-0.382218,-0.270508,0.994900,0.074795,0.066478,-0.012684,-0.657226,0.801761,0.176169,-0.166096,-0.163026,2.198437,0.014264,0.005300,-0.270508,0.994900,0.074795,0.066478,-0.012684,-0.657226,0.801761,0.176169,0.124912,0.123933,0.200000,-0.396867,-0.387518,0.000000
38233.530455,0,absolute,-0.077424,-0.075276,2.363281,-0.445838,-0.455957,-0.312012,0.998568,0.042834,0.032055,0.000120,-0.765763,0.811578,0.024066,-0.077424,-0.075276,2.363281,-0.445838,-0.455957,-0.312012,0.998568,0.042834,0.032055,0.000120,-0.765763,0.811578,0.024066,-0.162558,-0.160101,2.163281,-0.047290,-0.061755,-0.312012,0.998568,0.042834,0.032055,0.000120,-0.765763,0.811578,0.024066,0.085134,0.084825,0.200000,-0.398548,-0.394202,0.000000
38233.630443,0,absolute,-0.121206,-0.121080,2.324219,-0.439717,-0.472248,-0.356689,0.999962,0.008337,-0.001312,0.002246,-0.644136,0.538325,-0.053348,-0.121206,-0.121080,2.324219,-0.439717,-0.472248,-0.356689,0.999962,0.008337,-0.001312,0.002246,-0.644136,0.538325,-0.053348,-0.166422,-0.166250,2.124219,-0.040126,-0.073883,-0.356689,0.999962,0.008337,-0.001312,0.002246,-0.644136,0.538325,-0.053348,0.045216,0.045170,0.200000,-0.399591,-0.398364,0.000000
38233.730465,0,absolute,-0.163849,-0.167389,2.287109,-0.391604,-0.434337,-0.376953,0.999702,-0.016485,-0.017972,-0.000679,-0.385609,0.189123,-0.030390,-0.163849,-0.167389,2.287109,-0.391604,-0.434337,-0.376953,0.999702,-0.016485,-0.017972,-0.000679,-0.385609,0.189123,-0.030390,-0.169081,-0.172621,2.087109,0.008390,-0.034359,-0.376953,0.999702,-0.016485,-0.017972,-0.000679,-0.385609,0.189123,-0.030390,0.005232,0.005232,0.200000,-0.399995,-0.399978,0.000000
38233.830468,0,absolute,-0.202233,-0.209433,2.250000,-0.338119,-0.366390,-0.369629,0.999474,-0.026997,-0.017854,-0.001781,-0.066200,-0.085085,-0.000003,-0.202233,-0.209433,2.250000,-0.338119,-0.366390,-0.369629,0.999474,-0.026997,-0.017854,-0.001781,-0.066200,-0.085085,-0.000003,-0.167430,-0.174651,2.050000,0.061639,0.032641,-0.369629,0.999474,-0.026997,-0.017854,-0.001781,-0.066200,-0.085085,-0.000003,-0.034803,-0.034782,0.200000,-0.399758,-0.399031,0.000000
38233.930477,0,absolute,-0.236591,-0.245862,2.212891,-0.310769,-0.306063,-0.355469,0.999702,-0.023470,-0.006743,-0.000529,0.101788,-0.138876,0.010576,-0.236591,-0.245862,2.212891,-0.310769,-0.306063,-0.355469,0.999702,-0.023470,-0.006743,-0.000529,0.101788,-0.138876,0.010576,-0.161887,-0.171367,2.012891,0.088114,0.089472,-0.355469,0.999702,-0.023470,-0.006743,-0.000529,0.101788,-0.138876,0.010576,-0.074704,-0.074495,0.200000,-0.398882,-0.395536,0.000000
38234.030488,0,absolute,-0.271159,-0.279193,2.175781,-0.312936,-0.272253,-0.331787,0.999913,-0.011933,0.005516,0.000552,0.132809,-0.049496,0.005897,-0.271159,-0.279193,2.175781,-0.312936,-0.272253,-0.331787,0.999913,-0.011933,0.005516,0.000552,0.132809,-0.049496,0.005897,-0.156635,-0.165423,1.975781,0.084432,0.117254,-0.331787,0.999913,-0.011933,0.005516,0.000552,0.132809,-0.049496,0.005897,-0.114523,-0.113770,0.200000,-0.397368,-0.389508,0.000000
