timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz,acc_x,acc_y,acc_z
38233.130470,0,-0.001162,-0.000797,2.484375,-0.341871,-0.287291,-0.285547,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.255270,0.003118,0.001223,-0.000495,0.000000,0.000000,-0.355562
38233.230497,0,-0.036404,-0.030430,2.453056,-0.342022,-0.287829,-0.322193,1.000000,0.000008,0.000003,-0.000001,0.000321,0.000126,-0.000029,0.260289,0.002752,0.000399,-0.000496,0.000063,-0.000160,-0.169653
38233.330492,0,-0.071498,-0.059985,2.419110,-0.342164,-0.288427,-0.339598,1.000000,0.000032,0.000011,-0.000003,0.000604,0.000167,-0.000058,0.262977,0.002268,-0.000208,-0.000497,0.000210,-0.000623,-0.070098
38233.430464,0,-0.106479,-0.089497,2.384031,-0.342291,-0.289108,-0.346763,1.000000,0.000069,0.000019,-0.000007,0.000836,0.000146,-0.000087,0.264393,0.001691,-0.000634,-0.000498,0.000367,-0.001347,-0.017684
38233.530494,0,-0.141364,-0.118993,2.348603,-0.342405,-0.289894,-0.348565,1.000000,0.000116,0.000025,-0.000012,0.001008,0.000081,-0.000116,0.265113,0.001041,-0.000902,-0.000500,0.000482,-0.002273,0.008984
38233.630475,0,-0.176170,-0.148498,2.313221,-0.342512,-0.290796,-0.347652,1.000000,0.000170,0.000026,-0.000018,0.001114,-0.000011,-0.000145,0.265454,0.000335,-0.001032,-0.000502,0.000517,-0.003336,0.021621
38233.730510,0,-0.210913,-0.178037,2.278073,-0.342621,-0.291821,-0.345459,1.000000,0.000227,0.000023,-0.000027,0.001148,-0.000115,-0.000173,0.265590,-0.000411,-0.001041,-0.000504,0.000455,-0.004465,0.026657
38233.830506,0,-0.245607,-0.207635,2.243233,-0.342743,-0.292967,-0.342760,1.000000,0.000284,0.000015,-0.000036,0.001106,-0.000221,-0.000202,0.265616,-0.001185,-0.000943,-0.000506,0.000287,-0.005588,0.027626
38233.930522,0,-0.280268,-0.237315,2.208717,-0.342887,-0.294225,-0.339967,1.000000,0.000337,0.000001,-0.000047,0.000986,-0.000316,-0.000232,0.265585,-0.001976,-0.000750,-0.000508,0.000020,-0.006628,0.026466
38234.030529,0,-0.314909,-0.267096,2.174513,-0.343062,-0.295580,-0.337294,1.000000,0.000382,-0.000017,-0.000059,0.000787,-0.000392,-0.000261,0.265525,-0.002773,-0.000475,-0.000511,-0.000332,-0.007507,0.024239
38234.130527,0,-0.349541,-0.296994,2.140596,-0.343275,-0.297005,-0.334848,1.000000,0.000414,-0.000038,-0.000073,0.000507,-0.000440,-0.000290,0.265451,-0.003569,-0.000128,-0.000513,-0.000744,-0.008146,0.021519
38234.230512,0,-0.384175,-0.327019,2.106933,-0.343531,-0.298470,-0.332677,1.000000,0.000431,-0.000060,-0.000089,0.000147,-0.000453,-0.000319,0.265373,-0.004354,0.000281,-0.000516,-0.001187,-0.008468,0.018613
38234.330577,0,-0.418819,-0.357176,2.073491,-0.343831,-0.299934,-0.330801,1.000000,0.000427,-0.000082,-0.000106,-0.000292,-0.000425,-0.000349,0.265293,-0.005119,0.000743,-0.000519,-0.001621,-0.008393,0.015681
