timestamp,solve_num,event,reason,coord_mode,x0_source,solve_time_ms,solve_iters,constraint_error,active_elapsed_now_sec,activation_elapsed_sec,activation_wall_time_sec,solve_lead_sec,solve_finish_late_by_sec,handoff_pos_err,handoff_vel_err,replan_delay_sec,state_jump_norm,control_jump_norm,hover_z_jump,extra_values
655681.538867,0,accepted,,absolute_shifted,live_first,228.423327,74.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.613256,nan,nan,nan,
655682.049425,1,accepted,,absolute_shifted,predicted_handoff,175.024305,68.000000,0.000000,0.335521,0.613256,655682.152036,0.278423,-0.102689,0.084583,0.170245,0.628795,nan,nan,nan,
655682.166342,1,handoff,Active plan swapped to pending plan,absolute,,175.024305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.613292,0.466643,nan,active_plan_age_sec=0.627522;control_jump_norm=0.466643;new_solve_num=1;previous_solve_num=0;solve_latency_sec=0.175024;state_jump_norm=0.613292
655682.718632,2,accepted,,absolute_shifted,predicted_handoff,199.175086,65.000000,0.000000,0.367269,0.628795,655682.780831,0.262404,-0.062316,0.184782,0.424052,0.626684,nan,nan,nan,
655682.796363,2,handoff,Active plan swapped to pending plan,absolute,,199.175086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.628808,0.133527,nan,active_plan_age_sec=0.644271;control_jump_norm=0.133527;new_solve_num=2;previous_solve_num=1;solve_latency_sec=0.199175;state_jump_norm=0.628808
655683.327638,3,accepted,,absolute_shifted,predicted_handoff,178.212841,65.000000,0.000000,0.368474,0.626684,655683.407515,0.258435,-0.079965,0.388770,0.168237,0.624722,nan,nan,nan,
655683.426408,3,handoff,Active plan swapped to pending plan,absolute,,178.212841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.626801,0.023474,nan,active_plan_age_sec=0.645494;control_jump_norm=0.0234744;new_solve_num=3;previous_solve_num=2;solve_latency_sec=0.178213;state_jump_norm=0.626801
655683.941239,4,accepted,,absolute_shifted,predicted_handoff,157.844853,65.000000,0.000000,0.375790,0.624722,655684.032237,0.249368,-0.091073,0.365693,0.227571,0.626818,nan,nan,nan,
655684.056372,4,handoff,Active plan swapped to pending plan,absolute,,157.844853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.624736,0.171475,nan,active_plan_age_sec=0.648798;control_jump_norm=0.171475;new_solve_num=4;previous_solve_num=3;solve_latency_sec=0.157845;state_jump_norm=0.624736
655684.679376,5,accepted,,absolute_shifted,predicted_handoff,256.937519,66.000000,0.000000,0.390067,0.626818,655684.659055,0.236911,0.020210,0.212296,0.177525,0.623392,nan,nan,nan,
655684.686367,5,handoff,Active plan swapped to pending plan,absolute,,256.937519,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.626821,0.055204,nan,active_plan_age_sec=0.654081;control_jump_norm=0.0552037;new_solve_num=5;previous_solve_num=4;solve_latency_sec=0.256938;state_jump_norm=0.626821
655685.203511,6,accepted,,absolute_shifted,predicted_handoff,178.092467,67.000000,0.000000,0.366243,0.623392,655685.282447,0.257919,-0.079021,0.122059,0.126587,0.622205,nan,nan,nan,
655685.316332,6,handoff,Active plan swapped to pending plan,absolute,,178.092467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.623395,0.034225,nan,active_plan_age_sec=0.65722;control_jump_norm=0.0342248;new_solve_num=6;previous_solve_num=5;solve_latency_sec=0.178092;state_jump_norm=0.623395
655685.818463,7,accepted,,absolute_shifted,predicted_handoff,162.037624,69.000000,0.000000,0.373869,0.622205,655685.904652,0.248971,-0.086267,0.081311,0.147994,0.618445,nan,nan,nan,
655685.946380,7,handoff,Active plan swapped to pending plan,absolute,,162.037624,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.622208,0.026499,nan,active_plan_age_sec=0.663875;control_jump_norm=0.0264989;new_solve_num=7;previous_solve_num=6;solve_latency_sec=0.162038;state_jump_norm=0.622208
655686.447278,8,accepted,,absolute_shifted,predicted_handoff,161.854236,66.000000,0.000000,0.380675,0.618445,655686.523097,0.237891,-0.075892,0.110370,0.121141,0.611623,nan,nan,nan,
655686.576384,8,handoff,Active plan swapped to pending plan,absolute,,161.854236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.618454,0.029638,nan,active_plan_age_sec=0.671675;control_jump_norm=0.0296378;new_solve_num=8;previous_solve_num=7;solve_latency_sec=0.161854;state_jump_norm=0.618454
655687.063788,9,accepted,,absolute_shifted,predicted_handoff,158.428825,63.000000,0.000000,0.382173,0.611623,655687.134720,0.230080,-0.071008,0.158909,0.076937,0.606259,nan,nan,nan,
655687.136381,9,handoff,Active plan swapped to pending plan,absolute,,158.428825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.611623,0.008827,nan,active_plan_age_sec=0.613228;control_jump_norm=0.00882714;new_solve_num=9;previous_solve_num=8;solve_latency_sec=0.158429;state_jump_norm=0.611623
655687.689212,10,accepted,,absolute_shifted,predicted_handoff,170.767703,68.000000,0.000000,0.383600,0.606259,655687.740979,0.223585,-0.051854,0.191593,0.073369,0.600575,nan,nan,nan,
655687.766384,10,handoff,Active plan swapped to pending plan,absolute,,170.767703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.606259,0.025124,nan,active_plan_age_sec=0.631608;control_jump_norm=0.0251243;new_solve_num=10;previous_solve_num=9;solve_latency_sec=0.170768;state_jump_norm=0.606259
655688.316142,11,accepted,,absolute_shifted,predicted_handoff,196.683339,72.000000,0.000000,0.378351,0.600575,655688.341554,0.222740,-0.025508,0.214451,0.080842,0.608173,nan,nan,nan,
655688.396382,11,handoff,Active plan swapped to pending plan,absolute,,196.683339,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.600653,0.036435,nan,active_plan_age_sec=0.65535;control_jump_norm=0.0364352;new_solve_num=11;previous_solve_num=10;solve_latency_sec=0.196683;state_jump_norm=0.600653
655688.876874,12,accepted,,absolute_shifted,predicted_handoff,156.422311,70.000000,0.000000,0.378773,0.608173,655688.949727,0.229923,-0.072950,0.234584,0.058474,0.594771,nan,nan,nan,
655688.956401,12,handoff,Active plan swapped to pending plan,absolute,,156.422311,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.608174,0.031952,nan,active_plan_age_sec=0.614779;control_jump_norm=0.0319521;new_solve_num=12;previous_solve_num=11;solve_latency_sec=0.156422;state_jump_norm=0.608174
655689.493322,13,accepted,,absolute_shifted,predicted_handoff,170.881413,76.000000,0.000000,0.372604,0.594771,655689.544498,0.222873,-0.051255,0.232310,0.078170,0.582443,nan,nan,nan,
655689.586397,13,handoff,Active plan swapped to pending plan,absolute,,170.881413,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.594774,0.023168,nan,active_plan_age_sec=0.636608;control_jump_norm=0.0231682;new_solve_num=13;previous_solve_num=12;solve_latency_sec=0.170881;state_jump_norm=0.594774
655690.080187,14,accepted,,absolute_shifted,predicted_handoff,174.920791,62.000000,0.000000,0.360665,0.582443,655690.126941,0.222275,-0.046834,0.244043,0.092131,0.576667,nan,nan,nan,
655690.146364,14,handoff,Active plan swapped to pending plan,absolute,,174.920791,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.582444,0.037415,nan,active_plan_age_sec=0.601826;control_jump_norm=0.0374153;new_solve_num=14;previous_solve_num=13;solve_latency_sec=0.174921;state_jump_norm=0.582444
655690.669494,15,accepted,,absolute_shifted,predicted_handoff,188.038509,86.000000,0.000001,0.354401,0.576667,655690.703609,0.223069,-0.034196,0.239387,0.077254,0.548656,nan,nan,nan,
655690.706396,15,handoff,Active plan swapped to pending plan,absolute,,188.038509,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.576668,0.035318,nan,active_plan_age_sec=0.579398;control_jump_norm=0.0353177;new_solve_num=15;previous_solve_num=14;solve_latency_sec=0.188039;state_jump_norm=0.576668
655691.206716,16,accepted,,absolute_shifted,predicted_handoff,181.266565,78.000000,0.000001,0.321734,0.548656,655691.252265,0.227560,-0.045626,0.243211,0.082842,0.528041,nan,nan,nan,
655691.266397,16,handoff,Active plan swapped to pending plan,absolute,,181.266565,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.548656,0.011588,nan,active_plan_age_sec=0.56273;control_jump_norm=0.0115875;new_solve_num=16;previous_solve_num=15;solve_latency_sec=0.181267;state_jump_norm=0.548656
655695.886364,16,stale,trajectory_stale,absolute,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,elapsed=4.63406;horizon_end=4.39335
655695.956411,16,stale,trajectory_stale,absolute,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,elapsed=4.7041;horizon_end=4.39335
655696.026399,16,stale,trajectory_stale,absolute,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,elapsed=4.7741;horizon_end=4.39335
