timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
18653.135759,0,0.978655,1.015246,0.957907,-0.026291,0.021744,0.007607,0.999975,0.000909,0.000954,0.006945,0.008045,0.044963,-0.013874
18653.185664,0,0.979073,1.015073,0.957359,-0.023956,0.018417,0.010002,0.999975,0.000450,-0.002293,0.006609,-0.060405,-0.471512,0.007325
18653.235638,0,0.979644,1.014803,0.954400,-0.029236,0.018082,-0.107666,0.999494,-0.013210,-0.027886,0.007726,-0.965385,-1.338449,0.077722
18653.285663,0,0.979855,1.014979,0.940575,-0.075806,0.044800,-0.315186,0.997431,-0.035684,-0.061804,0.006124,-0.384791,-1.147554,-0.165806
18653.335668,0,0.978723,1.015445,0.917829,-0.157104,0.056335,-0.580566,0.996859,-0.016769,-0.077291,0.004131,2.903792,-0.116242,-0.142490
18653.385611,0,0.975562,1.013058,0.868262,-0.236084,-0.115051,-0.840820,0.994810,0.072221,-0.071279,0.007498,2.116212,0.430060,-0.070768
18653.435661,0,0.972172,1.009941,0.829356,-0.280273,-0.208496,-0.936035,0.993939,0.086428,-0.067489,0.007756,-0.933751,-0.134649,-0.036986
18653.485601,0,0.963258,1.004269,0.768587,-0.354980,-0.234375,-0.937500,0.995576,0.058283,-0.073556,0.004555,-0.469330,0.019124,-0.029146
18653.535635,0,0.952324,0.995101,0.722067,-0.398438,-0.290527,-0.850098,0.996314,0.060856,-0.060265,0.004899,0.265754,0.796852,-0.022192
18653.585558,0,0.938899,0.982139,0.681268,-0.405273,-0.348877,-0.741699,0.997414,0.058106,-0.041863,0.006045,-0.386972,0.542688,0.025498
18653.635662,0,0.925684,0.967688,0.651480,-0.402588,-0.371582,-0.573242,0.998314,0.045240,-0.035687,0.006973,-0.448877,0.058939,0.040599
18653.685669,0,0.907072,0.947096,0.621485,-0.433105,-0.408936,-0.447266,0.998620,0.039723,-0.033474,0.007714,-0.070290,0.139217,0.013516
18653.735648,0,0.892018,0.929857,0.602476,-0.454102,-0.452148,-0.304443,0.998681,0.039149,-0.032252,0.008017,-0.107038,-0.032691,0.011479
18653.785666,0,0.867797,0.901630,0.586329,-0.477539,-0.487305,-0.164062,0.998704,0.036154,-0.034917,0.007993,0.056825,-0.173851,-0.012221
18653.835648,0,0.845467,0.874788,0.577972,-0.507324,-0.528809,-0.051666,0.998388,0.039911,-0.039644,0.007589,0.146171,-0.188577,-0.041554
18653.885636,0,0.821676,0.845971,0.572757,-0.536133,-0.566895,0.004047,0.998132,0.041377,-0.044428,0.006851,0.043463,-0.219666,-0.036236
18653.935630,0,0.800914,0.820464,0.568137,-0.544434,-0.598145,0.000010,0.998141,0.040091,-0.045538,0.005717,-0.118287,-0.079153,0.022379
18653.985584,0,0.769468,0.783361,0.559128,-0.597168,-0.643555,-0.047699,0.998232,0.034579,-0.047986,0.005816,-0.303251,-0.019362,0.060371
18654.035679,0,0.745692,0.755627,0.548758,-0.613770,-0.649414,-0.140259,0.999019,0.019060,-0.039191,0.007880,-0.681769,0.481874,0.127150
18654.085648,0,0.714365,0.718776,0.533101,-0.662598,-0.666016,-0.242920,0.999507,0.005272,-0.029042,0.010658,-0.351248,0.331885,0.079835
18654.135647,0,0.686501,0.687944,0.515705,-0.654785,-0.636230,-0.326660,0.999762,-0.006242,-0.016959,0.012196,-0.497146,0.548142,0.075199
18654.185651,0,0.660971,0.658270,0.498264,-0.620605,-0.594727,-0.385010,0.999754,-0.018110,-0.002241,0.012604,-0.188986,0.305433,0.046633
18654.235699,0,0.656746,0.653338,0.495442,-0.605957,-0.576660,-0.389893,0.999740,-0.019031,-0.000573,0.012579,0.000093,0.196077,0.054951
18654.285662,0,0.603606,0.595411,0.459542,-0.573242,-0.531250,-0.378174,0.999780,-0.016740,0.003568,0.012122,0.061666,0.056860,0.034975
18654.335676,0,0.578344,0.568012,0.443248,-0.551270,-0.504395,-0.358154,0.999693,-0.020179,0.007969,0.011986,-0.168397,0.189123,0.017896
18654.385641,0,0.557988,0.545445,0.430466,-0.520508,-0.480713,-0.331543,0.999624,-0.021582,0.012205,0.011696,0.118560,0.005271,0.030611
18654.435659,0,0.525757,0.509677,0.411499,-0.504883,-0.467041,-0.300293,0.999663,-0.019727,0.012353,0.011479,-0.122650,0.075336,0.017811
18654.485656,0,0.502572,0.483481,0.400518,-0.470947,-0.439453,-0.270264,0.999483,-0.025477,0.016265,0.011004,-0.177805,0.099197,0.024544
18654.535657,0,0.480065,0.458496,0.389410,-0.442627,-0.411377,-0.238159,0.999465,-0.025589,0.017286,0.010808,0.059859,0.032265,0.003567
18654.585689,0,0.458977,0.433691,0.380570,-0.421387,-0.381592,-0.215820,0.999423,-0.027484,0.016799,0.010753,-0.142626,-0.078267,0.026129
18654.635676,0,0.438680,0.410367,0.371967,-0.392578,-0.360840,-0.198486,0.999398,-0.029097,0.015506,0.010753,-0.034310,-0.042713,0.008066
18654.685630,0,0.419336,0.388255,0.363650,-0.377686,-0.334229,-0.194580,0.999430,-0.028491,0.014789,0.010429,0.012741,-0.091084,0.000989
18654.735650,0,0.404698,0.371214,0.356800,-0.350586,-0.309326,-0.206177,0.999449,-0.028415,0.013818,0.010132,-0.047281,-0.009724,0.003714
18654.785644,0,0.383364,0.347442,0.345360,-0.334961,-0.282715,-0.216309,0.999459,-0.028894,0.012259,0.009778,0.015297,-0.078608,0.007994
18654.835609,0,0.366498,0.328398,0.334726,-0.317871,-0.265625,-0.227539,0.999541,-0.026883,0.010123,0.009666,0.064973,-0.069813,0.016712
18654.885707,0,0.350174,0.310366,0.324506,-0.298096,-0.240967,-0.235474,0.999571,-0.026018,0.009188,0.009807,0.005850,-0.022294,0.013678
18654.935729,0,0.340857,0.299943,0.317907,-0.283691,-0.224976,-0.238403,0.999598,-0.025425,0.007971,0.009671,0.051337,-0.042815,0.008151
18654.985721,0,0.329369,0.288581,0.309108,-0.270264,-0.200562,-0.234741,0.999633,-0.024196,0.007400,0.009696,0.074176,-0.058189,0.004802
18655.035593,0,0.305148,0.261540,0.292247,-0.254883,-0.187256,-0.215454,0.999735,-0.020620,0.003958,0.009447,0.092380,-0.089107,0.011582
18655.085692,0,0.299199,0.255484,0.287855,-0.251953,-0.180420,-0.208862,0.999756,-0.019687,0.003465,0.009426,0.023180,0.047178,0.005825
18655.135684,0,0.276755,0.232721,0.273369,-0.231689,-0.157349,-0.175659,0.999776,-0.018634,0.003642,0.009380,0.080721,-0.053451,0.020862
18655.185662,0,0.262494,0.218738,0.264886,-0.228638,-0.149170,-0.160034,0.999814,-0.016414,0.002883,0.009711,0.013150,0.007764,0.019959
18655.235628,0,0.248787,0.205261,0.258349,-0.219238,-0.140869,-0.147949,0.999794,-0.017194,0.003925,0.010008,-0.044247,0.112015,0.023777
18655.285705,0,0.237909,0.195019,0.252468,-0.208252,-0.125977,-0.136353,0.999783,-0.017426,0.005273,0.010139,0.014300,0.059962,0.011547
18655.335645,0,0.221857,0.178401,0.244071,-0.204590,-0.124939,-0.130615,0.999794,-0.016430,0.006026,0.010323,0.006004,0.043361,0.006230
18655.385691,0,0.212292,0.169812,0.239372,-0.188965,-0.114075,-0.127197,0.999769,-0.017017,0.008237,0.010203,-0.055632,0.114265,-0.015826
18655.435667,0,0.197215,0.155853,0.231611,-0.178223,-0.102966,-0.126221,0.999752,-0.018384,0.008428,0.009303,-0.039406,0.060132,-0.042645
18655.485638,0,0.185197,0.143956,0.225665,-0.172729,-0.099915,-0.122681,0.999765,-0.017570,0.009116,0.008879,-0.002292,0.054269,-0.007065
18655.535652,0,0.174031,0.133634,0.219745,-0.169067,-0.089417,-0.121216,0.999743,-0.018874,0.008738,0.008989,-0.086789,0.040804,0.009835
18655.585583,0,0.163394,0.124053,0.213321,-0.157227,-0.080017,-0.130859,0.999691,-0.020776,0.010234,0.009023,-0.040736,0.099334,-0.014573
18655.635639,0,0.153147,0.113846,0.208177,-0.140503,-0.069336,-0.130859,0.999651,-0.022257,0.011611,0.008220,-0.100902,0.039304,-0.036645
18655.685597,0,0.143859,0.105022,0.201720,-0.128906,-0.049957,-0.116211,0.999628,-0.023626,0.011274,0.007599,0.015604,0.031617,-0.032469
18655.735637,0,0.135425,0.097947,0.195490,-0.109680,-0.037903,-0.114441,0.999712,-0.019469,0.011876,0.007411,0.147535,-0.011172,-0.007453
18655.785645,0,0.126991,0.090619,0.189728,-0.108154,-0.029861,-0.109558,0.999765,-0.018534,0.008248,0.007631,-0.050315,-0.069165,-0.002525
18655.835584,0,0.118576,0.083549,0.184143,-0.101379,-0.026764,-0.104492,0.999767,-0.018032,0.008627,0.008092,0.031719,0.137922,-0.003262
18655.885679,0,0.113533,0.079035,0.180490,-0.085632,-0.032776,-0.091064,0.999775,-0.017081,0.009465,0.008227,-0.071177,-0.051303,-0.015544
18655.935649,0,0.106356,0.072720,0.175507,-0.082336,-0.021942,-0.086182,0.999757,-0.018798,0.007779,0.008453,-0.022123,-0.021800,-0.005565
18655.985614,0,0.101589,0.069238,0.171543,-0.068726,-0.007244,-0.081116,0.999782,-0.017579,0.007555,0.008362,0.045133,0.043122,-0.018220
18656.035626,0,0.095524,0.063554,0.168439,-0.066650,-0.002512,-0.078369,0.999813,-0.016527,0.005232,0.008523,0.010934,-0.081608,-0.002256
18656.085650,0,0.090757,0.059532,0.164162,-0.060181,-0.004448,-0.076111,0.999838,-0.014998,0.005218,0.008494,0.050280,0.043701,-0.004432
18656.135609,0,0.086518,0.056213,0.160321,-0.051178,0.005806,-0.076111,0.999860,-0.013688,0.004481,0.008474,0.050758,-0.103970,-0.012485
18656.185579,0,0.082557,0.053257,0.156395,-0.048859,0.012306,-0.078064,0.999887,-0.012123,0.001815,0.008736,0.043020,-0.051542,0.001865
18656.235583,0,0.079088,0.050516,0.152755,-0.043823,0.015610,-0.073792,0.999898,-0.010800,0.002818,0.008865,0.068416,0.011820,-0.015331
18656.285657,0,0.075939,0.047965,0.149156,-0.043671,0.016830,-0.070740,0.999920,-0.009175,0.000763,0.008669,0.034549,-0.093743,-0.009502
18656.335638,0,0.073486,0.045495,0.146095,-0.042023,0.016556,-0.072815,0.999930,-0.007976,-0.000725,0.008708,0.015485,-0.050587,-0.012902
18656.385640,0,0.070887,0.043389,0.143104,-0.038910,0.016907,-0.073425,0.999932,-0.007858,-0.001316,0.008461,0.008318,0.065211,-0.025072
18656.435649,0,0.068500,0.041430,0.138929,-0.041931,0.018433,-0.069458,0.999938,-0.007088,-0.001816,0.008336,0.064223,-0.029197,0.002912
18656.485638,0,0.066507,0.039380,0.135311,-0.046295,0.017944,-0.069641,0.999943,-0.005757,-0.002902,0.008477,0.005974,-0.026708,0.002045
18656.535641,0,0.064651,0.037485,0.131538,-0.065796,0.040955,-0.071594,0.999930,-0.007291,-0.003429,0.008629,0.035077,0.104379,-0.021663
18656.585646,0,0.063204,0.035396,0.127881,-0.062927,0.032562,-0.064209,0.999957,-0.003689,-0.000728,0.008447,0.171942,0.116173,-0.018357
18656.635668,0,0.062182,0.033297,0.124388,-0.049835,0.022812,-0.065186,0.999964,-0.001234,0.000930,0.008299,-0.006421,-0.005135,-0.021544
18656.685718,0,0.061701,0.030858,0.121134,-0.034088,0.009583,-0.057739,0.999968,-0.001530,-0.000068,0.007907,-0.027646,-0.056996,-0.028004
18656.735651,0,0.061405,0.028357,0.119323,-0.034119,0.008682,-0.055298,0.999966,-0.002500,-0.002431,0.007456,-0.046633,-0.131718,-0.031770
18656.785586,0,0.061577,0.025498,0.115809,-0.025330,0.007713,-0.052979,0.999955,-0.003546,-0.005221,0.007097,-0.046360,-0.111333,-0.020300
18656.835653,0,0.061831,0.022605,0.113004,-0.027771,0.010750,-0.048309,0.999932,-0.005198,-0.007848,0.006923,-0.018101,-0.104924,-0.015843
18656.885669,0,0.062252,0.019488,0.110444,-0.029160,0.014450,-0.044281,0.999909,-0.005887,-0.010274,0.006535,-0.003168,-0.049394,-0.009332
18656.935650,0,0.062515,0.016504,0.108401,-0.026611,-0.001618,-0.038330,0.999904,-0.005006,-0.011192,0.006426,-0.002495,-0.094016,-0.003686
18656.985660,0,0.062398,0.014008,0.106119,-0.037933,0.008003,-0.036194,0.999859,-0.006304,-0.013939,0.006919,-0.086380,-0.084676,-0.004602
18657.035649,0,0.062591,0.010455,0.104322,-0.035492,-0.003902,-0.035583,0.999865,-0.005790,-0.013638,0.007086,-0.057166,0.022396,-0.006737
18657.085649,0,0.062566,0.006850,0.102669,-0.041748,0.006813,-0.038116,0.999849,-0.008359,-0.013462,0.007084,-0.126741,-0.037429,-0.010201
18657.135644,0,0.062310,0.003370,0.102291,-0.037903,0.009537,-0.036469,0.999804,-0.010738,-0.014972,0.007183,-0.017573,-0.118287,-0.020078
18657.185648,0,0.061491,-0.000124,0.100306,-0.048126,0.004612,-0.038727,0.999807,-0.008035,-0.016318,0.007460,0.073904,0.022311,-0.008629
18657.235600,0,0.060260,-0.003602,0.098679,-0.051758,0.005939,-0.036926,0.999817,-0.009468,-0.014731,0.007697,-0.151080,0.072813,0.001203
18657.285644,0,0.058724,-0.006830,0.096655,-0.047852,0.010735,-0.037415,0.999812,-0.009421,-0.015048,0.007801,0.140035,-0.040429,-0.004696
18657.335632,0,0.056641,-0.009967,0.094608,-0.054352,0.014191,-0.038513,0.999811,-0.009160,-0.015013,0.008297,-0.179442,0.025345,0.013900
18657.385644,0,0.054113,-0.012903,0.092496,-0.061981,0.017914,-0.037933,0.999792,-0.010925,-0.014917,0.008624,0.039781,-0.103220,0.000622
18657.435630,0,0.051059,-0.015821,0.090371,-0.065613,0.016113,-0.041626,0.999815,-0.009155,-0.014381,0.008904,0.003754,0.171533,-0.030066
18657.485642,0,0.047673,-0.018439,0.087999,-0.065613,0.016052,-0.039551,0.999835,-0.009447,-0.012766,0.008822,-0.053280,-0.175215,-0.016090
18657.535632,0,0.043093,-0.020613,0.086259,-0.066589,0.018707,-0.043488,0.999803,-0.011921,-0.013307,0.008670,-0.097902,0.101038,-0.022243
18657.585619,0,0.038951,-0.022748,0.083367,-0.060791,0.024857,-0.045013,0.999840,-0.012805,-0.008906,0.008765,-0.026367,0.129536,-0.020470
18657.635685,0,0.034409,-0.024653,0.080797,-0.061798,0.023743,-0.042175,0.999875,-0.010094,-0.008695,0.008499,0.124696,0.012962,-0.029725
