timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz,acc_x,acc_y,acc_z
18653.135869,0,0.987719,1.005333,0.956794,-0.034180,0.027206,-0.017868,0.999951,-0.005394,-0.005217,0.006472,0.009272,0.028038,-0.008658,0.080000,13.704903,-11.226353,-0.089451,-0.031120,0.031762,-6.847371
18653.185721,0,0.986010,1.006693,0.955901,-0.035736,0.028795,-0.360237,0.999957,-0.005166,-0.004516,0.006253,0.694526,-0.533283,-0.011201,0.080000,3.929134,-3.518337,0.043370,-0.026949,0.030442,-6.847316
18653.235703,0,0.984223,1.008133,0.937889,-0.037083,0.030317,-0.702602,0.999749,0.012279,-0.017736,0.006118,0.890756,-0.709495,-0.009968,0.254191,-0.330389,0.310162,0.027547,-0.332445,-0.233178,-0.404298
18653.285723,0,0.982369,1.009648,0.902759,-0.053705,0.018658,-0.722817,0.998757,0.034641,-0.035315,0.006044,0.873969,-0.694324,-0.009185,0.332207,-3.381839,2.893117,0.026035,-0.862796,-0.856632,2.433745
18653.335730,0,0.979684,1.010581,0.866618,-0.096845,-0.024174,-0.601130,0.997001,0.056554,-0.052491,0.005983,0.704635,-0.549973,-0.008445,0.332904,-4.961141,4.216848,0.022269,-1.282181,-1.398154,2.372962
18653.385663,0,0.974841,1.009373,0.836561,-0.160954,-0.094082,-0.482482,0.995036,0.074192,-0.066065,0.005918,0.456401,-0.339356,-0.007812,0.314521,-5.454060,4.600902,0.017660,-1.521310,-1.729035,1.608997
18653.435723,0,0.966794,1.004669,0.812437,-0.237020,-0.180533,-0.402032,0.993529,0.085600,-0.074418,0.005847,0.183598,-0.109446,-0.007310,0.291490,-5.194702,4.344668,0.013487,-1.585610,-1.845690,0.708144
18653.485653,0,0.954943,0.995642,0.792336,-0.316300,-0.272818,-0.366625,0.992920,0.090188,-0.077092,0.005773,-0.076168,0.107736,-0.006927,0.272478,-4.455706,3.687444,0.010225,-1.534474,-1.816410,-0.002352
18653.535694,0,0.939128,0.982001,0.774005,-0.393024,-0.363638,-0.366742,0.993295,0.088295,-0.074413,0.005697,-0.298925,0.292128,-0.006636,0.261182,-3.448274,2.811503,0.007904,-1.420271,-1.704970,-0.394546
18653.585615,0,0.919476,0.963819,0.755667,-0.464037,-0.448887,-0.386470,0.994445,0.080838,-0.067183,0.005621,-0.471265,0.432779,-0.006412,0.257611,-2.332240,1.852895,0.006355,-1.266214,-1.541210,-0.479691
18653.635727,0,0.896275,0.941375,0.736344,-0.527348,-0.525947,-0.410454,0.995997,0.069063,-0.056470,0.005544,-0.587772,0.525538,-0.006231,0.259664,-1.226671,0.911798,0.005361,-1.074447,-1.329085,-0.345909
18653.685730,0,0.869907,0.915077,0.715821,-0.581071,-0.592402,-0.427750,0.997561,0.054353,-0.043446,0.005465,-0.648981,0.571267,-0.006079,0.264593,-0.217568,0.059798,0.004723,-0.843624,-1.067345,-0.105153
18653.735703,0,0.840854,0.885457,0.694434,-0.623252,-0.645769,-0.433007,0.998831,0.038088,-0.029273,0.005383,-0.659727,0.574407,-0.005944,0.270004,0.637182,-0.655565,0.004288,-0.580681,-0.764025,0.143992
18653.785741,0,0.809691,0.853169,0.672783,-0.652286,-0.683970,-0.425808,0.999641,0.021536,-0.015009,0.005298,-0.627739,0.541777,-0.005822,0.274315,1.304212,-1.207584,0.003954,-0.302551,-0.439055,0.335831
18653.835706,0,0.777077,0.818970,0.651493,-0.667413,-0.705923,-0.409016,0.999969,0.005777,-0.001549,0.005207,-0.562408,0.481537,-0.005710,0.276816,1.771223,-1.587367,0.003663,-0.031147,-0.118617,0.441703
18653.885692,0,0.743706,0.783674,0.631042,-0.668971,-0.711854,-0.386931,0.999898,-0.008344,0.010415,0.005112,-0.473743,0.402290,-0.005606,0.277488,2.043141,-1.800506,0.003391,0.213172,0.172582,0.463661
18653.935688,0,0.710258,0.748082,0.611696,-0.658312,-0.703225,-0.363748,0.999574,-0.020237,0.020407,0.005010,-0.371500,0.312366,-0.005509,0.276752,2.137902,-1.863439,0.003135,0.416084,0.416773,0.423129
18653.985653,0,0.677342,0.712920,0.593508,-0.637508,-0.682386,-0.342592,0.999154,-0.029560,0.028161,0.004904,-0.264540,0.219272,-0.005420,0.275212,2.082217,-1.799810,0.002902,0.570656,0.604918,0.349065
