solve_num,solve_time_ms,solve_iters,coord_mode,node,t,theta,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz,tgt_ax,tgt_ay,tgt_az,tgt_qw,tgt_qx,tgt_qy,tgt_qz,tgt_wx,tgt_wy,tgt_wz,tgt_alfx,tgt_alfy,tgt_alfz
0,161.319947,76,absolute_shifted,0,0.000000,0.119984,-0.164493,-0.980287,1.580620,0.475591,-0.118723,-0.009377,0.999886,0.009555,0.011248,-0.003144,0.038043,-0.040156,-0.031259,0.240880,-5.818243,-2.529557,0.440058,0.138678,0.990340,0.200000,-0.397160,0.056375,0.000000,-0.090687,-0.098689,0.000000,0.859311,0.000000,0.000000,0.511453,0.000000,0.000000,0.300000,0.000000,0.000000,-0.000000
0,161.319947,76,absolute_shifted,1,0.119984,0.119984,-0.105632,-0.994700,1.573080,0.501510,-0.114841,-0.116269,0.999950,-0.009162,-0.000176,-0.004042,-0.660268,-0.343361,-0.001243,0.248504,3.025226,1.147281,0.043582,0.090372,0.996394,0.200000,-0.408041,0.044534,0.000000,-0.090687,-0.098689,0.000000,0.859311,0.000000,0.000000,0.511453,0.000000,0.000000,0.300000,0.000000,0.000000,-0.000000
0,161.319947,76,absolute_shifted,2,0.239968,0.119981,-0.045631,-1.005041,1.554693,0.492673,-0.046916,-0.190819,0.999136,-0.037940,-0.016525,-0.003859,-0.297287,-0.205709,0.001730,0.254349,2.049997,0.882953,-0.015345,0.040761,1.001027,0.200000,-0.418922,0.032693,0.000000,-0.090687,-0.098689,0.000000,0.859311,0.000000,0.000000,0.511453,0.000000,0.000000,0.300000,0.000000,0.000000,-0.000000
0,161.319947,76,absolute_shifted,3,0.359949,0.119979,0.011434,-1.004170,1.528689,0.455153,0.065374,-0.243128,0.998492,-0.048420,-0.025635,-0.003600,-0.051310,-0.099792,0.000683,0.258660,1.137508,0.570300,-0.008437,-0.010154,1.004239,0.200000,-0.429803,0.020852,0.000000,-0.090687,-0.098689,0.000000,0.859311,0.000000,0.000000,0.511453,0.000000,0.000000,0.300000,0.000000,0.000000,-0.000000
0,161.319947,76,absolute_shifted,4,0.479927,0.119977,0.062963,-0.988888,1.497433,0.402297,0.188989,-0.277952,0.998432,-0.047421,-0.029565,-0.003353,0.085170,-0.031368,0.000108,0.261864,0.545484,0.345951,-0.001401,-0.062374,1.006030,0.200000,-0.440683,0.009011,0.000000,-0.090687,-0.098689,0.000000,0.859311,0.000000,0.000000,0.511453,0.000000,0.000000,0.300000,0.000000,0.000000,-0.000000
0,161.319947,76,absolute_shifted,5,0.599904,0.119975,0.107722,-0.959162,1.462870,0.343560,0.303814,-0.297978,0.998723,-0.040361,-0.030223,-0.003107,0.150615,0.010138,0.000012,0.264254,0.173145,0.188630,0.000398,-0.115899,1.006401,0.200000,-0.451564,-0.002829,0.000000,-0.090687,-0.098689,0.000000,0.859311,0.000000,0.000000,0.511453,0.000000,0.000000,0.300000,0.000000,0.000000,-0.000000
0,161.319947,76,absolute_shifted,6,0.719879,0.119971,0.145399,-0.916747,1.426634,0.284999,0.399467,-0.305788,0.999104,-0.030709,-0.028967,-0.002863,0.171388,0.032770,0.000039,0.266027,-0.040020,0.086214,0.000241,-0.170728,1.005352,0.200000,-0.462444,-0.014669,0.000000,-0.090687,-0.098689,0.000000,0.859311,0.000000,0.000000,0.511453,0.000000,0.000000,0.300000,0.000000,0.000000,-0.000000
0,161.319947,76,absolute_shifted,7,0.839850,0.119967,0.176248,-0.864232,1.390037,0.230146,0.472007,-0.304059,0.999428,-0.020574,-0.026720,-0.002636,0.166587,0.043113,0.000056,0.267318,-0.146424,0.024825,-0.000094,-0.226860,1.002882,0.200000,-0.473324,-0.026509,0.000000,-0.090687,-0.098689,0.000000,0.859311,0.000000,0.000000,0.511453,0.000000,0.000000,0.300000,0.000000,0.000000,-0.000000
0,161.319947,76,absolute_shifted,8,0.959817,0.119962,0.200835,-0.804419,1.354073,0.180785,0.521402,-0.295324,0.999646,-0.011106,-0.024070,-0.002434,0.149021,0.046092,0.000050,0.268230,-0.188297,-0.009225,-0.000217,-0.284296,0.998991,0.200000,-0.484203,-0.038349,0.000000,-0.090687,-0.098689,0.000000,0.859311,0.000000,0.000000,0.511453,0.000000,0.000000,0.300000,0.000000,0.000000,-0.000000
0,161.319947,76,absolute_shifted,9,1.079779,0.119955,0.219868,-0.739975,1.319454,0.137592,0.549714,-0.281754,0.999765,-0.002841,-0.021358,-0.002262,0.126432,0.044986,0.000035,0.268840,-0.194536,-0.026447,-0.000186,-0.343034,0.993681,0.200000,-0.495082,-0.050187,0.000000,-0.090687,-0.098689,0.000000,0.859311,0.000000,0.000000,0.511453,0.000000,0.000000,0.300000,0.000000,0.000000,-0.000000
0,161.319947,76,absolute_shifted,10,1.199734,0.119947,0.234092,-0.673256,1.286653,0.100583,0.559939,-0.265089,0.999813,0.004047,-0.018771,-0.002120,0.103097,0.041814,0.000022,0.269213,-0.182935,-0.033910,-0.000114,-0.403074,0.986950,0.200000,-0.505960,-0.062026,0.000000,-0.090687,-0.098689,0.000000,0.859311,0.000000,0.000000,0.511453,0.000000,0.000000,0.300000,0.000000,0.000000,-0.000000
0,161.319947,76,absolute_shifted,11,1.319681,0.119936,0.244231,-0.606239,1.255962,0.069422,0.555311,-0.246655,0.999818,0.009576,-0.016397,-0.002005,0.081154,0.037747,0.000014,0.269400,-0.163530,-0.035977,-0.000059,-0.464415,0.978801,0.200000,-0.516838,-0.073863,0.000000,-0.090687,-0.098689,0.000000,0.859311,0.000000,0.000000,0.511453,0.000000,0.000000,0.300000,0.000000,0.000000,-0.000000
