timestamp,solve_num,event,reason,coord_mode,x0_source,solve_time_ms,solve_iters,constraint_error,active_elapsed_now_sec,activation_elapsed_sec,activation_wall_time_sec,solve_lead_sec,solve_finish_late_by_sec,handoff_pos_err,handoff_vel_err,replan_delay_sec,state_jump_norm,control_jump_norm,hover_z_jump,extra_values
11830.454111,0,accepted,,absolute_shifted,live_first,161.319947,76.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.839850,nan,nan,nan,
11831.276422,1,accepted,,absolute_shifted,predicted_handoff,193.599572,98.000000,0.000000,0.628608,0.839850,11831.293814,0.211320,-0.017541,0.015099,0.141987,0.839664,nan,nan,nan,
11831.350774,1,handoff,Active plan swapped to pending plan,absolute,,193.599572,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.839958,0.233592,nan,active_plan_age_sec=0.896643;control_jump_norm=0.233592;new_solve_num=1;previous_solve_num=0;solve_latency_sec=0.1936;state_jump_norm=0.839958
11832.103776,2,accepted,,absolute_shifted,predicted_handoff,190.970736,97.000000,0.000000,0.618761,0.839664,11832.133477,0.221004,-0.029841,0.056469,0.103919,0.838742,nan,nan,nan,
11832.190624,2,handoff,Active plan swapped to pending plan,absolute,,190.970736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.839785,0.246261,nan,active_plan_age_sec=0.896744;control_jump_norm=0.246261;new_solve_num=2;previous_solve_num=1;solve_latency_sec=0.190971;state_jump_norm=0.839785
11832.922229,3,accepted,,absolute_shifted,predicted_handoff,176.491533,72.000000,0.000000,0.612050,0.838742,11832.972219,0.226994,-0.050128,0.030296,0.034638,0.775544,nan,nan,nan,
11833.030604,3,handoff,Active plan swapped to pending plan,absolute,,176.491533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.838868,0.245893,nan,active_plan_age_sec=0.89705;control_jump_norm=0.245893;new_solve_num=3;previous_solve_num=2;solve_latency_sec=0.176492;state_jump_norm=0.838868
11833.700699,4,accepted,,absolute_shifted,predicted_handoff,178.950470,78.000000,0.000000,0.549320,0.775544,11833.747763,0.226843,-0.047188,0.034958,0.031069,0.825923,nan,nan,nan,
11833.800688,4,handoff,Active plan swapped to pending plan,absolute,,178.950470,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.775688,0.280551,nan,active_plan_age_sec=0.82835;control_jump_norm=0.280551;new_solve_num=4;previous_solve_num=3;solve_latency_sec=0.17895;state_jump_norm=0.775688
11834.524389,5,accepted,,absolute_shifted,predicted_handoff,177.669810,96.000000,0.000002,0.598746,0.825923,11834.573686,0.227475,-0.049423,0.028267,0.060475,0.839777,nan,nan,nan,
11834.640603,5,handoff,Active plan swapped to pending plan,absolute,,177.669810,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.869424,2.941896,nan,active_plan_age_sec=0.892728;control_jump_norm=2.9419;new_solve_num=5;previous_solve_num=4;solve_latency_sec=0.17767;state_jump_norm=0.869424
11835.374810,6,accepted,,absolute_shifted,predicted_handoff,188.145560,96.000000,0.000002,0.612784,0.839777,11835.413463,0.227534,-0.038818,0.043169,0.147993,0.835875,nan,nan,nan,
11835.480609,6,handoff,Active plan swapped to pending plan,absolute,,188.145560,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.839910,0.219482,nan,active_plan_age_sec=0.906802;control_jump_norm=0.219482;new_solve_num=6;previous_solve_num=5;solve_latency_sec=0.188146;state_jump_norm=0.83991
11836.193092,7,accepted,,absolute_shifted,predicted_handoff,173.407441,95.000000,0.000002,0.606017,0.835875,11836.249338,0.230717,-0.056416,0.041425,0.097418,0.717727,nan,nan,nan,
11836.250528,7,handoff,Active plan swapped to pending plan,absolute,,173.407441,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.835875,0.127298,nan,active_plan_age_sec=0.836981;control_jump_norm=0.127298;new_solve_num=7;previous_solve_num=6;solve_latency_sec=0.173407;state_jump_norm=0.835875
