timestamp,solve_num,event,reason,coord_mode,x0_source,solve_time_ms,solve_iters,constraint_error,active_elapsed_now_sec,activation_elapsed_sec,activation_wall_time_sec,solve_lead_sec,solve_finish_late_by_sec,handoff_pos_err,handoff_vel_err,replan_delay_sec,state_jump_norm,control_jump_norm,hover_z_jump,extra_values
16067.035735,0,accepted,,absolute_shifted,live_first,162.483435,77.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.839695,nan,nan,nan,
16067.824921,1,accepted,,absolute_shifted,predicted_handoff,161.546533,97.000000,0.000000,0.627577,0.839695,16067.875269,0.212483,-0.050479,0.074617,0.182866,0.839568,nan,nan,nan,
16067.876142,1,handoff,Active plan swapped to pending plan,absolute,,161.546533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.839695,0.176217,nan,active_plan_age_sec=0.840473;control_jump_norm=0.176217;new_solve_num=1;previous_solve_num=0;solve_latency_sec=0.161547;state_jump_norm=0.839695
16068.680806,2,accepted,,absolute_shifted,predicted_handoff,177.532350,75.000000,0.000000,0.627778,0.839568,16068.714837,0.212202,-0.034176,0.101972,0.070659,0.839011,nan,nan,nan,
16068.716089,2,handoff,Active plan swapped to pending plan,absolute,,177.532350,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.839570,1.451826,nan,active_plan_age_sec=0.840748;control_jump_norm=1.45183;new_solve_num=2;previous_solve_num=1;solve_latency_sec=0.177532;state_jump_norm=0.83957
16069.515366,3,accepted,,absolute_shifted,predicted_handoff,177.198091,98.000000,0.000000,0.623169,0.839011,16069.553848,0.216801,-0.038611,0.041021,0.048077,0.836266,nan,nan,nan,
16069.556100,3,handoff,Active plan swapped to pending plan,absolute,,177.198091,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.839014,1.027222,nan,active_plan_age_sec=0.841172;control_jump_norm=1.02722;new_solve_num=3;previous_solve_num=2;solve_latency_sec=0.177198;state_jump_norm=0.839014
16070.363847,4,accepted,,absolute_shifted,predicted_handoff,192.582277,97.000000,0.000000,0.617186,0.836266,16070.390114,0.219920,-0.026428,0.058323,0.109890,0.824360,nan,nan,nan,
16070.396078,4,handoff,Active plan swapped to pending plan,absolute,,192.582277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.836268,0.333388,nan,active_plan_age_sec=0.842145;control_jump_norm=0.333388;new_solve_num=4;previous_solve_num=3;solve_latency_sec=0.192582;state_jump_norm=0.836268
16071.146931,5,accepted,,absolute_shifted,predicted_handoff,158.743370,77.000000,0.000000,0.597847,0.824360,16071.214474,0.226719,-0.067738,0.037510,0.083404,0.837234,nan,nan,nan,
16071.236106,5,handoff,Active plan swapped to pending plan,absolute,,158.743370,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.825202,1.730629,nan,active_plan_age_sec=0.845882;control_jump_norm=1.73063;new_solve_num=5;previous_solve_num=4;solve_latency_sec=0.158743;state_jump_norm=0.825202
16072.010361,6,accepted,,absolute_shifted,predicted_handoff,179.136697,96.000000,0.000002,0.616503,0.837234,16072.051708,0.221326,-0.041505,0.040448,0.050239,0.839638,nan,nan,nan,
16072.076124,6,handoff,Active plan swapped to pending plan,absolute,,179.136697,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.841671,2.172422,nan,active_plan_age_sec=0.861523;control_jump_norm=2.17242;new_solve_num=6;previous_solve_num=5;solve_latency_sec=0.179137;state_jump_norm=0.841671
16072.852660,7,accepted,,absolute_shifted,predicted_handoff,184.455080,96.000000,0.000003,0.616271,0.839638,16072.891346,0.223669,-0.038811,0.022911,0.183256,0.834944,nan,nan,nan,
16072.916081,7,handoff,Active plan swapped to pending plan,absolute,,184.455080,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.839639,0.001591,nan,active_plan_age_sec=0.864259;control_jump_norm=0.00159122;new_solve_num=7;previous_solve_num=6;solve_latency_sec=0.184455;state_jump_norm=0.839639
16073.685875,8,accepted,,absolute_shifted,predicted_handoff,185.766147,93.000000,0.000278,0.608565,0.834944,16073.726290,0.226905,-0.040559,0.051647,0.234665,0.792619,nan,nan,nan,
16073.756040,8,handoff,Active plan swapped to pending plan,absolute,,185.766147,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.834946,0.003725,nan,active_plan_age_sec=0.864588;control_jump_norm=0.0037247;new_solve_num=8;previous_solve_num=7;solve_latency_sec=0.185766;state_jump_norm=0.834946
