solve_num,solve_time_ms,solve_iters,coord_mode,node,t,theta,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz,tgt_ax,tgt_ay,tgt_az,tgt_qw,tgt_qx,tgt_qy,tgt_qz,tgt_wx,tgt_wy,tgt_wz,tgt_alfx,tgt_alfy,tgt_alfz
0,199.047634,94,absolute_shifted,0,0.000000,0.119964,-1.895203,-0.331114,0.960570,0.056799,-0.323375,-0.003759,0.999993,0.003229,-0.000744,-0.001775,-0.051712,0.016277,0.041827,0.268086,-2.416017,7.761687,-0.604251,1.892785,0.346937,0.515890,-0.023352,0.275249,-0.001059,-0.003203,0.010068,-0.000045,0.685674,-0.001444,0.002000,0.727904,-0.003734,0.000627,0.134926,-0.009529,-0.010335,-0.071316
0,199.047634,94,absolute_shifted,1,0.119964,0.119977,-1.887762,-0.370088,0.960967,0.078745,-0.321709,0.010030,0.999567,-0.008558,0.028152,-0.000443,-0.342188,0.947114,0.000617,0.268747,1.534556,-4.827910,-0.001887,1.889961,0.380029,0.515763,-0.023736,0.276456,-0.001065,-0.003203,0.010068,-0.000045,0.685674,-0.001444,0.002000,0.727904,-0.003734,0.000627,0.134926,-0.009529,-0.010335,-0.071316
0,199.047634,94,absolute_shifted,2,0.239942,0.119975,-1.871967,-0.406690,0.962871,0.200154,-0.282517,0.020026,0.997439,-0.023526,0.067547,-0.000311,-0.158110,0.367862,0.000489,0.268645,0.918312,-2.786029,-0.003183,1.887090,0.413270,0.515635,-0.024120,0.277664,-0.001070,-0.003203,0.010068,-0.000045,0.685674,-0.001444,0.002000,0.727904,-0.003734,0.000627,0.134926,-0.009529,-0.010335,-0.071316
0,199.047634,94,absolute_shifted,3,0.359917,0.119974,-1.837476,-0.436930,0.965412,0.379551,-0.219148,0.021486,0.996389,-0.029683,0.079554,-0.000146,-0.047943,0.033605,0.000271,0.268002,0.529175,-1.507126,-0.001957,1.884173,0.446655,0.515506,-0.024505,0.278872,-0.001075,-0.003203,0.010068,-0.000045,0.685674,-0.001444,0.002000,0.727904,-0.003734,0.000627,0.134926,-0.009529,-0.010335,-0.071316
0,199.047634,94,absolute_shifted,4,0.479891,0.119972,-1.780624,-0.458979,0.967794,0.566846,-0.148024,0.018417,0.996625,-0.030650,0.076159,0.000048,0.015545,-0.147212,0.000138,0.267248,0.287235,-0.724793,-0.000817,1.881210,0.480185,0.515377,-0.024889,0.280080,-0.001081,-0.003203,0.010068,-0.000045,0.685674,-0.001444,0.002000,0.727904,-0.003734,0.000627,0.134926,-0.009529,-0.010335,-0.071316
0,199.047634,94,absolute_shifted,5,0.599863,0.119969,-1.702258,-0.472524,0.969752,0.735081,-0.078546,0.014910,0.997489,-0.028687,0.064754,0.000258,0.050007,-0.234166,0.000082,0.266566,0.137060,-0.251453,-0.000410,1.878201,0.513859,0.515247,-0.025273,0.281288,-0.001086,-0.003203,0.010068,-0.000045,0.685674,-0.001444,0.002000,0.727904,-0.003734,0.000627,0.134926,-0.009529,-0.010335,-0.071316
0,199.047634,94,absolute_shifted,6,0.719832,0.119965,-1.605552,-0.478103,0.971373,0.871245,-0.015819,0.012856,0.998440,-0.025196,0.049834,0.000466,0.066452,-0.264333,0.000054,0.266023,0.044464,0.028673,-0.000223,1.875146,0.547678,0.515116,-0.025658,0.282496,-0.001091,-0.003203,0.010068,-0.000045,0.685674,-0.001444,0.002000,0.727904,-0.003734,0.000627,0.134926,-0.009529,-0.010335,-0.071316
0,199.047634,94,absolute_shifted,7,0.839797,0.119959,-1.494700,-0.476694,0.972858,0.970655,0.037684,0.012504,0.999196,-0.021045,0.034103,0.000660,0.071787,-0.260893,0.000039,0.265629,-0.011575,0.186859,-0.000128,1.872045,0.581640,0.514985,-0.026042,0.283704,-0.001097,-0.003203,0.010068,-0.000045,0.685674,-0.001444,0.002000,0.727904,-0.003734,0.000627,0.134926,-0.009529,-0.010335,-0.071316
0,199.047634,94,absolute_shifted,8,0.959756,0.119952,-1.374136,-0.469468,0.974385,1.033541,0.081114,0.013333,0.999676,-0.016772,0.019138,0.000833,0.070399,-0.238477,0.000030,0.265368,-0.044096,0.267499,-0.000085,1.868898,0.615745,0.514853,-0.026426,0.284912,-0.001102,-0.003203,0.010068,-0.000045,0.685674,-0.001444,0.002000,0.727904,-0.003734,0.000627,0.134926,-0.009529,-0.010335,-0.071316
0,199.047634,94,absolute_shifted,9,1.079708,0.119942,-1.248085,-0.457633,0.976053,1.062916,0.114606,0.014644,0.999902,-0.012697,0.005804,0.000981,0.065110,-0.206390,0.000025,0.265211,-0.061332,0.298820,-0.000065,1.865705,0.649993,0.514720,-0.026810,0.286119,-0.001107,-0.003203,0.010068,-0.000045,0.685674,-0.001444,0.002000,0.727904,-0.003734,0.000627,0.134926,-0.009529,-0.010335,-0.071316
