solve_num,solve_time_ms,solve_iters,coord_mode,node,t,theta,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz,circle_center_x,circle_center_y,circle_center_z,circle_radius,circle_omega,circle_phi0,circle_t_abs,abs_x,abs_y,abs_z,abs_vx,abs_vy,abs_vz,abs_qw,abs_qx,abs_qy,abs_qz,abs_wx,abs_wy,abs_wz,fz,mx,my,mz,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,rel_qw,rel_qx,rel_qy,rel_qz,rel_wx,rel_wy,rel_wz
0,779.211985,102,absolute,0,0.000000,0.096694,-1.937544,-0.495908,1.500000,0.198363,-0.775017,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,-709839034.306593,1774597594.246883,-0.001760,0.002133,1.957587,-0.060577,-0.026810,0.019836,0.999818,0.004399,-0.005962,0.017598,-0.048337,0.018510,-0.000326,0.266227,0.023524,-0.014920,0.000206,1.935784,0.498041,0.457587,-0.258941,0.748208,0.019836,0.999818,0.004399,-0.005962,0.017598,-0.048337,0.018510,-0.000326
0,779.211985,102,absolute,1,0.100000,0.096933,-1.916163,-0.572993,1.500000,0.229197,-0.766465,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,-709839034.306593,1774597594.246883,-0.006691,-0.000413,1.959736,-0.041229,-0.024919,0.024618,0.999830,0.002103,-0.005142,0.017572,-0.046062,0.017068,-0.000315,0.265070,0.016283,-0.010043,0.000180,1.909472,0.572579,0.459736,-0.270426,0.741547,0.024618,0.999830,0.002103,-0.005142,0.017572,-0.046062,0.017068,-0.000315
0,779.211985,102,absolute,2,0.200000,0.097182,-1.891716,-0.649161,1.500000,0.259664,-0.756687,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,-709839034.306593,1774597594.246883,-0.009701,-0.002514,1.962155,-0.020700,-0.017537,0.025289,0.999836,-0.000105,-0.004377,0.017548,-0.044484,0.016096,-0.000305,0.264430,0.010111,-0.005929,0.000163,1.882016,0.646646,0.462155,-0.280364,0.739150,0.025289,0.999836,-0.000105,-0.004377,0.017548,-0.044484,0.016096,-0.000305
0,779.211985,102,absolute,3,0.300000,0.097431,-1.864244,-0.724290,1.500000,0.289716,-0.745697,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,-709839034.306593,1774597594.246883,-0.010672,-0.003643,1.964534,0.000861,-0.004820,0.023672,0.999837,-0.002256,-0.003646,0.017523,-0.043501,0.015521,-0.000296,0.264119,0.004922,-0.002515,0.000153,1.853572,0.720647,0.464534,-0.288854,0.740877,0.023672,0.999837,-0.002256,-0.003646,0.017523,-0.043501,0.015521,-0.000296
0,779.211985,102,absolute,4,0.400000,0.097672,-1.833789,-0.798260,1.500000,0.319304,-0.733515,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,-709839034.306593,1774597594.246883,-0.009499,-0.003279,1.966706,0.023354,0.013150,0.020921,0.999833,-0.004376,-0.002933,0.017500,-0.043021,0.015277,-0.000287,0.264000,0.000632,0.000263,0.000150,1.824289,0.794981,0.466706,-0.295950,0.746665,0.020921,0.999833,-0.004376,-0.002933,0.017500,-0.043021,0.015277,-0.000287
0,779.211985,102,absolute,5,0.500000,0.097902,-1.800400,-0.870954,1.500000,0.348381,-0.720160,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,-709839034.306593,1774597594.246883,-0.006084,-0.000904,1.968593,0.046710,0.036343,0.017704,0.999824,-0.006488,-0.002224,0.017477,-0.042959,0.015303,-0.000279,0.263985,-0.002839,0.002466,0.000152,1.794316,0.870049,0.468593,-0.301672,0.756503,0.017704,0.999824,-0.006488,-0.002224,0.017477,-0.042959,0.015303,-0.000279
0,779.211985,102,absolute,6,0.600000,0.098117,-1.764131,-0.942254,1.500000,0.376902,-0.705652,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,-709839034.306593,1774597594.246883,-0.000333,0.004003,1.970164,0.070888,0.064770,0.014379,0.999809,-0.008611,-0.001506,0.017453,-0.043236,0.015546,-0.000271,0.264021,-0.005569,0.004153,0.000157,1.763798,0.946257,0.470164,-0.306013,0.770423,0.014379,0.999809,-0.008611,-0.001506,0.017453,-0.043236,0.015546,-0.000271
0,779.211985,102,absolute,7,0.700000,0.098315,-1.725040,-1.012046,1.500000,0.404819,-0.690016,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,-709839034.306593,1774597594.246883,0.007841,0.011969,1.971415,0.095867,0.098469,0.011109,0.999790,-0.010758,-0.000771,0.017430,-0.043782,0.015954,-0.000262,0.264078,-0.007633,0.005381,0.000165,1.732881,1.024015,0.471415,-0.308951,0.788485,0.011109,0.999790,-0.010758,-0.000771,0.017430,-0.043782,0.015954,-0.000262
0,779.211985,102,absolute,8,0.800000,0.098496,-1.683189,-1.080220,1.500000,0.432088,-0.673276,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,-709839034.306593,1774597594.246883,0.018527,0.023525,1.972353,0.121643,0.137498,0.007954,0.999765,-0.012942,-0.000011,0.017408,-0.044533,0.016484,-0.000253,0.264141,-0.009102,0.006204,0.000175,1.701716,1.103745,0.472353,-0.310445,0.810773,0.007954,0.999765,-0.012942,-0.000011,0.017408,-0.044533,0.016484,-0.000253
0,779.211985,102,absolute,9,0.900000,0.098659,-1.638645,-1.146666,1.500000,0.458666,-0.655458,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,-709839034.306593,1774597594.246883,0.031811,0.039212,1.972987,0.148220,0.181928,0.004911,0.999733,-0.015171,0.000777,0.017385,-0.045429,0.017096,-0.000243,0.264203,-0.010045,0.006675,0.000185,1.670457,1.185877,0.472987,-0.310447,0.837386,0.004911,0.999733,-0.015171,0.000777,0.017385,-0.045429,0.017096,-0.000243
0,779.211985,102,absolute,10,1.000000,0.098805,-1.591480,-1.211277,1.500000,0.484511,-0.636592,0.000000,0.000000,0.000000,1.500000,2.000000,0.400000,-709839034.306593,1774597594.246883,0.047779,0.059578,1.973327,0.175612,0.231842,0.001956,0.999696,-0.017451,0.001596,0.017361,-0.046420,0.017755,-0.000233,0.264262,-0.010527,0.006843,0.000196,1.639260,1.270855,0.473327,-0.308899,0.868434,0.001956,0.999696,-0.017451,0.001596,0.017361,-0.046420,0.017755,-0.000233
