timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz,acc_x,acc_y,acc_z
22303.458605,0,-0.001760,0.002133,1.957587,-0.060577,-0.026810,0.019836,0.999818,0.004399,-0.005962,0.017598,-0.048337,0.018510,-0.000326,0.266227,0.023524,-0.014920,0.000206,-0.116023,-0.088811,0.049194
22303.558413,0,-0.006691,-0.000413,1.959736,-0.041229,-0.024919,0.024618,0.999830,0.002103,-0.005142,0.017572,-0.046062,0.017068,-0.000315,0.265070,0.016283,-0.010043,0.000180,-0.100220,-0.043054,0.006787
22303.658368,0,-0.009701,-0.002514,1.962155,-0.020700,-0.017537,0.025289,0.999836,-0.000105,-0.004377,0.017548,-0.044484,0.016096,-0.000305,0.264430,0.010111,-0.005929,0.000163,-0.085756,0.000555,-0.016660
22303.758392,0,-0.010672,-0.003643,1.964534,0.000861,-0.004820,0.023672,0.999837,-0.002256,-0.003646,0.017523,-0.043501,0.015521,-0.000296,0.264119,0.004922,-0.002515,0.000153,-0.072103,0.042877,-0.028168
22303.858428,0,-0.009499,-0.003279,1.966706,0.023354,0.013150,0.020921,0.999833,-0.004376,-0.002933,0.017500,-0.043021,0.015277,-0.000287,0.264000,0.000632,0.000263,0.000150,-0.058852,0.084558,-0.032760
22303.958446,0,-0.006084,-0.000904,1.968593,0.046710,0.036343,0.017704,0.999824,-0.006488,-0.002224,0.017477,-0.042959,0.015303,-0.000279,0.263985,-0.002839,0.002466,0.000152,-0.045691,0.126090,-0.033697
22304.058368,0,-0.000333,0.004003,1.970164,0.070888,0.064770,0.014379,0.999809,-0.008611,-0.001506,0.017453,-0.043236,0.015546,-0.000271,0.264021,-0.005569,0.004153,0.000157,-0.032380,0.167852,-0.032946
22304.158440,0,0.007841,0.011969,1.971415,0.095867,0.098469,0.011109,0.999790,-0.010758,-0.000771,0.017430,-0.043782,0.015954,-0.000262,0.264078,-0.007633,0.005381,0.000165,-0.018738,0.210136,-0.031618
22304.258387,0,0.018527,0.023525,1.972353,0.121643,0.137498,0.007954,0.999765,-0.012942,-0.000011,0.017408,-0.044533,0.016484,-0.000253,0.264141,-0.009102,0.006204,0.000175,-0.004631,0.253164,-0.030290
22304.358394,0,0.031811,0.039212,1.972987,0.148220,0.181928,0.004911,0.999733,-0.015171,0.000777,0.017385,-0.045429,0.017096,-0.000243,0.264203,-0.010045,0.006675,0.000185,0.010032,0.297095,-0.029228
22304.458409,0,0.047779,0.059578,1.973327,0.175612,0.231842,0.001956,0.999696,-0.017451,0.001596,0.017361,-0.046420,0.017755,-0.000233,0.264262,-0.010527,0.006843,0.000196,0.025308,0.342041,-0.028525
22304.558418,0,0.066519,0.085181,1.973378,0.203838,0.287322,-0.000947,0.999651,-0.019785,0.002449,0.017338,-0.047459,0.018432,-0.000222,0.264319,-0.010607,0.006754,0.000207,0.041226,0.388064,-0.028188
22304.658408,0,0.088117,0.116584,1.973143,0.232920,0.348454,-0.003836,0.999599,-0.022174,0.003336,0.017315,-0.048508,0.019101,-0.000210,0.264375,-0.010343,0.006453,0.000217,0.057787,0.435188,-0.028180
22304.758343,0,0.112663,0.154361,1.972622,0.262877,0.415319,-0.006742,0.999538,-0.024617,0.004255,0.017292,-0.049533,0.019741,-0.000198,0.264432,-0.009786,0.005979,0.000226,0.074973,0.483401,-0.028449
22304.858360,0,0.140247,0.199091,1.971809,0.293730,0.487991,-0.009694,0.999470,-0.027112,0.005205,0.017268,-0.050503,0.020334,-0.000185,0.264492,-0.008985,0.005368,0.000233,0.092748,0.532659,-0.028937
22304.958343,0,0.170959,0.251358,1.970700,0.325495,0.566534,-0.012713,0.999392,-0.029656,0.006182,0.017245,-0.051394,0.020868,-0.000172,0.264557,-0.007983,0.004654,0.000239,0.111061,0.582897,-0.029588
22305.058354,0,0.204891,0.311750,1.969286,0.358184,0.651002,-0.015816,0.999306,-0.032243,0.007185,0.017221,-0.052186,0.021330,-0.000158,0.264628,-0.006819,0.003865,0.000244,0.129851,0.634023,-0.030344
22305.158337,0,0.242133,0.380859,1.967560,0.391803,0.741434,-0.019015,0.999210,-0.034869,0.008208,0.017198,-0.052863,0.021715,-0.000145,0.264708,-0.005529,0.003029,0.000246,0.149050,0.685931,-0.031148
22305.258343,0,0.282775,0.459276,1.965510,0.426354,0.837854,-0.022312,0.999105,-0.037525,0.009247,0.017175,-0.053412,0.022016,-0.000131,0.264799,-0.004145,0.002166,0.000247,0.168583,0.738503,-0.031939
22305.358324,0,0.326906,0.547590,1.963127,0.461832,0.940270,-0.025706,0.998991,-0.040206,0.010300,0.017152,-0.053824,0.022232,-0.000117,0.264901,-0.002695,0.001298,0.000247,0.188373,0.791607,-0.032650
22305.458361,0,0.374611,0.646389,1.960403,0.498225,1.048675,-0.029190,0.998868,-0.042904,0.011361,0.017130,-0.054092,0.022362,-0.000103,0.265018,-0.001205,0.000441,0.000245,0.208341,0.845111,-0.033206
22305.558370,0,0.425977,0.756253,1.957329,0.535516,1.163044,-0.032746,0.998735,-0.045611,0.012425,0.017108,-0.054211,0.022406,-0.000089,0.265150,0.000302,-0.000393,0.000242,0.228411,0.898875,-0.033522
22305.658335,0,0.481083,0.877758,1.953901,0.573682,1.283336,-0.036350,0.998595,-0.048319,0.013490,0.017086,-0.054181,0.022367,-0.000075,0.265301,0.001807,-0.001191,0.000237,0.248508,0.952761,-0.033502
22305.758307,0,0.540007,1.011471,1.950115,0.612695,1.409496,-0.039966,0.998446,-0.051021,0.014550,0.017065,-0.054002,0.022249,-0.000062,0.265473,0.003291,-0.001944,0.000232,0.268563,1.006636,-0.033033
22305.858320,0,0.602824,1.157951,1.945973,0.652522,1.541453,-0.043550,0.998289,-0.053709,0.015603,0.017045,-0.053675,0.022056,-0.000049,0.265668,0.004737,-0.002646,0.000226,0.288511,1.060371,-0.031985
22305.958378,0,0.669604,1.317747,1.941482,0.693126,1.679124,-0.047042,0.998126,-0.056375,0.016644,0.017026,-0.053204,0.021794,-0.000036,0.265892,0.006130,-0.003291,0.000220,0.308292,1.113844,-0.030211
