timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz,acc_x,acc_y,acc_z
19632.287102,0,0.000142,0.000705,1.962300,-0.016052,-0.015137,0.005993,0.999996,0.001590,-0.002152,-0.000806,-0.022873,0.019754,-0.004628,0.269899,-0.035266,0.003569,-0.000850,-0.043050,-0.031744,0.186108
19632.387027,0,-0.002864,-0.001677,1.963759,-0.045490,-0.033745,0.024060,0.999999,0.000398,-0.001184,-0.001033,-0.026289,0.020109,-0.004674,0.266814,-0.024003,0.000878,-0.000891,-0.023400,-0.007842,0.071986
19632.487070,0,-0.008606,-0.005799,1.966434,-0.072362,-0.050916,0.031050,0.999999,-0.000933,-0.000204,-0.001262,-0.028612,0.020204,-0.004724,0.265178,-0.014569,-0.001136,-0.000919,-0.003977,0.018336,0.011399
19632.587089,0,-0.016849,-0.011523,1.969508,-0.096691,-0.066467,0.032155,0.999996,-0.002358,0.000778,-0.001494,-0.030022,0.020104,-0.004774,0.264357,-0.006787,-0.002562,-0.000933,0.015306,0.046147,-0.019136
19632.687053,0,-0.027364,-0.018694,1.972553,-0.118465,-0.080254,0.030278,0.999990,-0.003837,0.001754,-0.001730,-0.030677,0.019864,-0.004826,0.263982,-0.000493,-0.003483,-0.000937,0.034436,0.074965,-0.033245
19632.787000,0,-0.039918,-0.027147,1.975357,-0.137657,-0.092176,0.027009,0.999980,-0.005338,0.002720,-0.001968,-0.030719,0.019535,-0.004878,0.263843,0.004465,-0.003974,-0.000932,0.053364,0.104210,-0.038730
19632.887105,0,-0.054270,-0.036704,1.977821,-0.154236,-0.102177,0.023184,0.999967,-0.006833,0.003671,-0.002210,-0.030273,0.019155,-0.004930,0.263823,0.008233,-0.004106,-0.000918,0.072040,0.133379,-0.039972
19632.987047,0,-0.070173,-0.047183,1.979910,-0.168171,-0.110242,0.019218,0.999952,-0.008303,0.004607,-0.002455,-0.029455,0.018762,-0.004982,0.263855,0.010951,-0.003942,-0.000898,0.090432,0.162056,-0.039355
19633.087042,0,-0.087371,-0.058397,1.981616,-0.179435,-0.116387,0.015296,0.999934,-0.009730,0.005526,-0.002703,-0.028366,0.018383,-0.005032,0.263907,0.012751,-0.003545,-0.000873,0.108529,0.189913,-0.038120
19633.187079,0,-0.105601,-0.070159,1.982943,-0.188002,-0.120661,0.011480,0.999913,-0.011103,0.006430,-0.002955,-0.027095,0.018043,-0.005081,0.263962,0.013762,-0.002969,-0.000844,0.126346,0.216713,-0.036866
19633.287036,0,-0.124596,-0.082286,1.983901,-0.193845,-0.123127,0.007776,0.999891,-0.012414,0.007320,-0.003210,-0.025721,0.017758,-0.005129,0.264012,0.014103,-0.002267,-0.000812,0.143915,0.242296,-0.035843
19633.387053,0,-0.144080,-0.094600,1.984496,-0.196939,-0.123864,0.004161,0.999867,-0.013659,0.008200,-0.003469,-0.024309,0.017542,-0.005175,0.264056,0.013887,-0.001485,-0.000778,0.161286,0.266576,-0.035120
19633.487086,0,-0.163774,-0.106930,1.984735,-0.197256,-0.122956,0.000609,0.999842,-0.014836,0.009072,-0.003730,-0.022916,0.017403,-0.005219,0.264093,0.013222,-0.000665,-0.000743,0.178522,0.289527,-0.034678
19633.587050,0,-0.183394,-0.119112,1.984621,-0.194766,-0.120488,-0.002907,0.999815,-0.015948,0.009940,-0.003995,-0.021588,0.017345,-0.005261,0.264126,0.012204,0.000157,-0.000707,0.195694,0.311179,-0.034463
19633.687085,0,-0.202650,-0.130989,1.984155,-0.189436,-0.116538,-0.006409,0.999788,-0.016996,0.010809,-0.004263,-0.020359,0.017369,-0.005302,0.264155,0.010923,0.000947,-0.000672,0.212876,0.331598,-0.034412
19633.787101,0,-0.221250,-0.142412,1.983338,-0.181229,-0.111180,-0.009911,0.999760,-0.017988,0.011682,-0.004533,-0.019257,0.017472,-0.005340,0.264182,0.009461,0.001677,-0.000637,0.230140,0.350888,-0.034466
19633.887082,0,-0.238895,-0.153239,1.982169,-0.170108,-0.104472,-0.013423,0.999730,-0.018929,0.012562,-0.004807,-0.018301,0.017648,-0.005376,0.264209,0.007891,0.002323,-0.000604,0.247558,0.369175,-0.034575
19633.987137,0,-0.255285,-0.163333,1.980646,-0.156033,-0.096462,-0.016949,0.999700,-0.019826,0.013452,-0.005083,-0.017502,0.017888,-0.005411,0.264236,0.006277,0.002865,-0.000573,0.265193,0.386599,-0.034701
19634.087089,0,-0.270116,-0.172560,1.978768,-0.138960,-0.087183,-0.020491,0.999669,-0.020687,0.014356,-0.005362,-0.016864,0.018183,-0.005443,0.264265,0.004676,0.003288,-0.000544,0.283100,0.403313,-0.034815
19634.187106,0,-0.283079,-0.180792,1.976534,-0.118850,-0.076652,-0.024046,0.999636,-0.021520,0.015275,-0.005642,-0.016387,0.018520,-0.005474,0.264296,0.003137,0.003580,-0.000517,0.301323,0.419469,-0.034894
19634.287051,0,-0.293866,-0.187902,1.973944,-0.095662,-0.064872,-0.027610,0.999602,-0.022333,0.016212,-0.005926,-0.016065,0.018886,-0.005504,0.264330,0.001700,0.003731,-0.000493,0.319894,0.435218,-0.034923
19634.387123,0,-0.302165,-0.193763,1.970998,-0.069356,-0.051830,-0.031178,0.999566,-0.023132,0.017166,-0.006210,-0.015886,0.019267,-0.005532,0.264367,0.000399,0.003736,-0.000471,0.338832,0.450702,-0.034891
19634.487075,0,-0.307663,-0.198248,1.967698,-0.039899,-0.037502,-0.034742,0.999528,-0.023925,0.018139,-0.006497,-0.015838,0.019648,-0.005559,0.264407,-0.000741,0.003593,-0.000452,0.358141,0.466054,-0.034785
19634.587047,0,-0.310049,-0.201228,1.964045,-0.007260,-0.021849,-0.038296,0.999488,-0.024717,0.019129,-0.006785,-0.015904,0.020014,-0.005585,0.264453,-0.001701,0.003303,-0.000435,0.377812,0.481390,-0.034594
19634.687059,0,-0.309011,-0.202572,1.960044,0.028586,-0.004824,-0.041829,0.999447,-0.025513,0.020135,-0.007074,-0.016065,0.020351,-0.005609,0.264503,-0.002467,0.002869,-0.000421,0.397821,0.496811,-0.034303
19634.787106,0,-0.304238,-0.202146,1.955698,0.067659,0.013629,-0.045332,0.999403,-0.026319,0.021155,-0.007364,-0.016302,0.020644,-0.005633,0.264558,-0.003032,0.002298,-0.000410,0.418131,0.512401,-0.033896
19634.887116,0,-0.295420,-0.199808,1.951013,0.109972,0.033575,-0.048793,0.999356,-0.027135,0.022187,-0.007655,-0.016595,0.020880,-0.005656,0.264620,-0.003395,0.001599,-0.000400,0.438694,0.528223,-0.033349
19634.987079,0,-0.282251,-0.195415,1.945994,0.155530,0.055083,-0.052198,0.999307,-0.027966,0.023227,-0.007946,-0.016924,0.021046,-0.005679,0.264689,-0.003560,0.000784,-0.000393,0.459448,0.544322,-0.032634
19635.087162,0,-0.264423,-0.188814,1.940651,0.204330,0.078224,-0.055531,0.999256,-0.028812,0.024272,-0.008238,-0.017268,0.021131,-0.005701,0.264765,-0.003535,-0.000133,-0.000388,0.480323,0.560728,-0.031714
19635.187045,0,-0.241633,-0.179850,1.934991,0.256365,0.103075,-0.058771,0.999203,-0.029673,0.025316,-0.008530,-0.017609,0.021125,-0.005723,0.264851,-0.003334,-0.001136,-0.000384,0.501239,0.577449,-0.030546
19635.287070,0,-0.213579,-0.168356,1.929027,0.311615,0.129708,-0.061894,0.999147,-0.030549,0.026356,-0.008821,-0.017930,0.021021,-0.005745,0.264948,-0.002971,-0.002206,-0.000382,0.522110,0.594481,-0.029078
19635.387063,0,-0.179961,-0.154162,1.922772,0.370054,0.158199,-0.064871,0.999089,-0.031439,0.027387,-0.009113,-0.018214,0.020811,-0.005766,0.265056,-0.002468,-0.003322,-0.000382,0.542844,0.611803,-0.027248
19635.487131,0,-0.140482,-0.137088,1.916243,0.431649,0.188618,-0.067666,0.999029,-0.032340,0.028403,-0.009405,-0.018448,0.020491,-0.005787,0.265178,-0.001846,-0.004462,-0.000382,0.563345,0.629385,-0.024984
19635.587111,0,-0.094845,-0.116948,1.909459,0.496357,0.221033,-0.070238,0.998968,-0.033250,0.029399,-0.009696,-0.018621,0.020060,-0.005809,0.265316,-0.001132,-0.005602,-0.000384,0.583517,0.647183,-0.022198
19635.687118,0,-0.042758,-0.093548,1.902445,0.564125,0.255510,-0.072534,0.998905,-0.034165,0.030370,-0.009987,-0.018724,0.019518,-0.005830,0.265472,-0.000351,-0.006717,-0.000386,0.603264,0.665148,-0.018790
19635.787092,0,0.016068,-0.066687,1.895231,0.634895,0.292107,-0.074496,0.998841,-0.035083,0.031310,-0.010278,-0.018750,0.018866,-0.005852,0.265650,0.000468,-0.007781,-0.000389,0.622492,0.683228,-0.014636
19635.887052,0,0.081919,-0.036158,1.887851,0.708597,0.330878,-0.076050,0.998777,-0.036000,0.032215,-0.010568,-0.018696,0.018112,-0.005874,0.265852,0.001295,-0.008767,-0.000393,0.641114,0.701366,-0.009590
19635.987073,0,0.155076,-0.001748,1.880350,0.785154,0.371873,-0.077108,0.998712,-0.036912,0.033079,-0.010858,-0.018562,0.017261,-0.005895,0.266084,0.002102,-0.009648,-0.000396,0.659053,0.719507,-0.003471
19636.087105,0,0.235815,0.036763,1.872779,0.864482,0.415134,-0.077566,0.998647,-0.037815,0.033900,-0.011147,-0.018348,0.016324,-0.005917,0.266350,0.002859,-0.010399,-0.000400,0.676240,0.737603,0.003946
19636.187077,0,0.324403,0.079598,1.865204,0.946489,0.460698,-0.077297,0.998584,-0.038705,0.034672,-0.011436,-0.018062,0.015314,-0.005940,0.266660,0.003537,-0.010994,-0.000403,0.692625,0.755613,0.012948
19636.287138,0,0.421100,0.126985,1.857701,1.031076,0.508601,-0.076146,0.998521,-0.039581,0.035392,-0.011724,-0.017709,0.014247,-0.005962,0.267021,0.004109,-0.011407,-0.000407,0.708175,0.773511,0.023903
19636.387102,0,0.526156,0.179155,1.850366,1.118140,0.558871,-0.073921,0.998459,-0.040438,0.036059,-0.012012,-0.017301,0.013139,-0.005985,0.267447,0.004550,-0.011616,-0.000409,0.722884,0.791289,0.037294
19636.487047,0,0.639809,0.236341,1.843315,1.207576,0.611536,-0.070386,0.998399,-0.041274,0.036671,-0.012299,-0.016851,0.012011,-0.006008,0.267955,0.004835,-0.011600,-0.000412,0.736773,0.808965,0.053755
19636.587076,0,0.762288,0.298779,1.836689,1.299277,0.666625,-0.065239,0.998341,-0.042088,0.037227,-0.012586,-0.016373,0.010885,-0.006030,0.268567,0.004944,-0.011340,-0.000413,0.749904,0.826591,0.074130
19636.687104,0,0.893806,0.366706,1.830666,1.393140,0.724170,-0.058098,0.998285,-0.042880,0.037729,-0.012873,-0.015886,0.009784,-0.006053,0.269314,0.004859,-0.010819,-0.000414,0.762379,0.844259,0.099526
19636.787124,0,1.034565,0.440360,1.825462,1.489072,0.784209,-0.048475,0.998231,-0.043648,0.038177,-0.013159,-0.015407,0.008735,-0.006076,0.270235,0.004565,-0.010026,-0.000413,0.774357,0.862115,0.131390
19636.887053,0,1.184758,0.519985,1.821351,1.586992,0.846797,-0.035738,0.998178,-0.044394,0.038576,-0.013445,-0.014957,0.007762,-0.006099,0.271380,0.004052,-0.008951,-0.000411,0.786053,0.880365,0.171569
19636.987093,0,1.344571,0.605829,1.818677,1.686842,0.912006,-0.019077,0.998128,-0.045120,0.038930,-0.013731,-0.014558,0.006895,-0.006122,0.272811,0.003314,-0.007591,-0.000408,0.797748,0.899282,0.222346
19637.087079,0,1.514191,0.698154,1.817871,1.788595,0.979937,0.002539,0.998080,-0.045828,0.039244,-0.014017,-0.014232,0.006161,-0.006145,0.274602,0.002348,-0.005945,-0.000404,0.809790,0.919212,0.286411
19637.187064,0,1.693822,0.797241,1.819480,1.892267,1.050732,0.030409,0.998032,-0.046524,0.039526,-0.014303,-0.014000,0.005587,-0.006167,0.276835,0.001157,-0.004020,-0.000397,0.822580,0.940560,0.366730
19637.287112,0,1.883708,0.903408,1.824194,1.997933,1.124587,0.066127,0.997986,-0.047211,0.039784,-0.014589,-0.013885,0.005201,-0.006189,0.279590,-0.000251,-0.001827,-0.000389,0.836554,0.963771,0.466255
19637.387079,0,2.084161,1.017030,1.832877,2.105738,1.201760,0.111594,0.997939,-0.047897,0.040029,-0.014876,-0.013907,0.005029,-0.006211,0.282937,-0.001863,0.000619,-0.000379,0.852149,0.989288,0.587475
19637.487054,0,2.295609,1.138570,1.846608,2.215918,1.282595,0.168997,0.997891,-0.048589,0.040272,-0.015164,-0.014087,0.005096,-0.006232,0.286916,-0.003661,0.003292,-0.000367,0.869757,1.017504,0.731862
19637.587094,0,2.518659,1.268620,1.866720,2.328815,1.367527,0.240745,0.997842,-0.049296,0.040525,-0.015454,-0.014444,0.005425,-0.006252,0.291528,-0.005621,0.006164,-0.000352,0.889695,1.048707,0.899382
19637.687115,0,2.754157,1.407950,1.894849,2.444890,1.457103,0.329385,0.997790,-0.050029,0.040804,-0.015747,-0.014996,0.006041,-0.006272,0.296727,-0.007711,0.009199,-0.000336,0.912188,1.083067,1.088279
19637.787076,0,3.003265,1.557563,1.932987,2.564739,1.551990,0.437509,0.997733,-0.050799,0.041123,-0.016044,-0.015760,0.006963,-0.006291,0.302426,-0.009890,0.012352,-0.000317,0.937394,1.120643,1.295258
19637.887125,0,3.267506,1.718739,1.983547,2.689095,1.652987,0.567677,0.997670,-0.051622,0.041500,-0.016346,-0.016751,0.008213,-0.006309,0.308502,-0.012109,0.015574,-0.000297,0.965440,1.161416,1.515749
19637.987091,0,3.548773,1.893060,2.049429,2.818818,1.761020,0.722341,0.997599,-0.052513,0.041957,-0.016655,-0.017983,0.009812,-0.006326,0.314787,-0.014307,0.018806,-0.000274,0.996388,1.205233,1.743419
19638.087119,0,3.849271,2.082389,2.134063,2.954847,1.877100,0.903648,0.997518,-0.053489,0.042517,-0.016972,-0.019467,0.011779,-0.006343,0.320994,-0.016411,0.021980,-0.000248,1.030015,1.251522,1.967664
19638.187049,0,4.171428,2.288836,2.241400,3.098131,2.002252,1.112893,0.997425,-0.054572,0.043205,-0.017300,-0.021208,0.014130,-0.006358,0.326605,-0.018329,0.025012,-0.000219,1.065405,1.298772,2.169284
19638.287086,0,4.518458,2.515130,2.376047,3.249786,2.137614,1.349824,0.997315,-0.055783,0.044052,-0.017641,-0.023203,0.016876,-0.006371,0.330743,-0.019938,0.027786,-0.000187,1.100468,1.343945,2.315952
19638.387069,0,4.895005,2.765084,2.543463,3.411198,2.284494,1.611354,0.997184,-0.057152,0.045097,-0.017998,-0.025448,0.020031,-0.006383,0.332072,-0.021065,0.030122,-0.000149,1.131468,1.381897,2.358601
19638.487109,0,5.307050,3.043590,2.749676,3.583699,2.444008,1.888832,0.997027,-0.058713,0.046385,-0.018376,-0.027917,0.023596,-0.006393,0.328921,-0.021428,0.031692,-0.000104,1.153075,1.405497,2.235834
19638.587066,0,5.760453,3.355643,2.999687,3.767630,2.616125,2.164129,0.996838,-0.060500,0.047967,-0.018778,-0.030545,0.027523,-0.006401,0.321974,-0.020577,0.031894,-0.000049,1.167483,1.416879,1.972806
19638.687112,0,6.256750,3.703320,3.293889,3.961568,2.799129,2.416861,0.996612,-0.062523,0.049874,-0.019205,-0.033170,0.031639,-0.006404,0.319067,-0.017891,0.029758,0.000015,1.203132,1.450068,1.856122
19638.787126,0,6.783747,4.078853,3.623080,4.162574,2.990685,2.656947,0.996351,-0.064721,0.052062,-0.019644,-0.035470,0.035522,-0.006403,0.348583,-0.012880,0.024267,0.000077,1.372201,1.638649,2.922331
19638.887089,0,7.299005,4.452273,3.965283,4.370442,3.193933,3.009118,0.996080,-0.066877,0.054306,-0.020060,-0.037004,0.038475,-0.006398,0.516037,-0.007629,0.017439,0.000120,2.118971,2.504719,9.018793
19638.987071,0,7.727161,4.768612,4.293379,4.606465,3.438931,3.868731,0.995850,-0.068631,0.056189,-0.020392,-0.037714,0.040156,-0.006391,0.592372,-0.014492,0.023522,0.000152,2.516705,2.948711,11.784474
19639.087077,0,8.143634,5.082924,4.679459,4.859414,3.705259,4.904991,0.995623,-0.070290,0.058009,-0.020702,-0.038972,0.042242,-0.006384,0.588239,-0.019019,0.028156,0.000193,2.579985,2.997028,11.614740
19639.187077,0,8.612045,5.443792,5.190294,5.135070,3.994876,5.992824,0.995363,-0.072124,0.060060,-0.021034,-0.040735,0.044900,-0.006373,0.581922,-0.020005,0.028972,0.000234,2.642289,3.040078,11.362937
19639.287093,0,9.126822,5.848100,5.828439,5.427963,4.301668,7.099330,0.995070,-0.074118,0.062327,-0.021384,-0.042663,0.047744,-0.006360,0.572667,-0.017410,0.026004,0.000273,2.698103,3.072043,11.002053
19639.387122,0,9.687456,6.296263,6.597082,5.735478,4.622500,8.203219,0.994742,-0.076261,0.064802,-0.021748,-0.044388,0.050377,-0.006345,0.560895,-0.011638,0.019699,0.000309,2.747131,3.093244,10.547792
19639.487082,0,10.295284,6.789971,7.498949,6.056117,4.955458,9.289328,0.994380,-0.078530,0.067463,-0.022124,-0.045563,0.052430,-0.006327,0.549433,-0.003825,0.011177,0.000341,2.800958,3.117373,10.103167
19639.587074,0,10.950303,7.329702,8.532887,6.388940,5.299382,10.351394,0.993989,-0.080885,0.070266,-0.022512,-0.045939,0.053630,-0.006306,0.540878,0.004209,0.002163,0.000371,2.871235,3.157806,9.762569
19639.687126,0,11.649077,7.912945,9.690876,6.732744,5.652993,11.389628,0.993576,-0.083263,0.073139,-0.022905,-0.045463,0.053884,-0.006284,0.533440,0.010549,-0.005570,0.000399,2.946817,3.202730,9.461716
