timestamp,solve_num,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
22303.458460,0,-0.001164,-0.003601,1.955684,-0.047882,-0.021332,0.013458,0.999821,0.001909,-0.008372,0.016866,0.000259,-0.012672,-0.002776
22303.558314,0,-0.000272,-0.003485,1.955136,-0.049011,-0.019989,0.008568,0.999684,0.004294,-0.014564,0.020043,0.146717,-0.480238,0.192395
22303.658298,0,-0.000019,-0.003549,1.954632,-0.066833,-0.020187,-0.030991,0.999232,0.005105,-0.026216,0.028675,-0.005437,0.023180,0.132331
22303.758329,0,-0.003719,-0.004928,1.946433,-0.112732,-0.024261,-0.081116,0.999183,0.002899,-0.019426,0.035322,-0.062927,0.277616,0.013456
22303.858353,0,-0.009103,-0.005562,1.936520,-0.123718,-0.020966,-0.073608,0.999298,-0.000026,-0.006161,0.036962,-0.104788,0.311432,-0.001992
22303.958365,0,-0.013970,-0.006013,1.928694,-0.107422,-0.015625,-0.039734,0.999312,-0.002936,0.005948,0.036489,-0.075949,0.240665,-0.026640
22304.058293,0,-0.016688,-0.006109,1.926354,-0.073242,-0.006275,0.021576,0.999238,-0.008218,0.013806,0.035559,-0.158307,0.090607,-0.017198
22304.158352,0,-0.016183,-0.005290,1.926508,-0.031403,0.010002,0.047424,0.999192,-0.013958,0.016074,0.034084,-0.203576,0.107583,-0.016141
22304.258303,0,-0.011841,-0.000420,1.931711,0.016983,0.042908,0.051331,0.999102,-0.021019,0.016315,0.032980,-0.201258,0.007998,-0.013320
22304.358319,0,-0.000942,0.008597,1.937266,0.068909,0.087402,0.042297,0.999041,-0.025560,0.014001,0.032672,-0.177805,-0.012868,-0.009894
22304.458326,0,0.014472,0.022567,1.939238,0.113403,0.139893,0.009750,0.999007,-0.029012,0.009510,0.032442,-0.114878,-0.006166,-0.009741
22304.558350,0,0.032992,0.042133,1.938769,0.148193,0.195435,-0.006134,0.999038,-0.029039,0.005451,0.032399,-0.151353,-0.010704,-0.000289
22304.658333,0,0.053952,0.067321,1.936332,0.173340,0.253418,-0.002760,0.998980,-0.031020,0.004181,0.032549,-0.171397,0.071790,-0.001711
22304.758278,0,0.075762,0.098301,1.935328,0.197388,0.314941,0.019165,0.998893,-0.033120,0.004623,0.033093,-0.170988,0.154216,0.005706
22304.858295,0,0.100596,0.135855,1.934416,0.222778,0.378174,0.041534,0.998818,-0.035311,0.006839,0.032707,-0.278435,0.152171,-0.027612
22304.958280,0,0.126823,0.180020,1.934436,0.252930,0.447266,0.049744,0.998674,-0.039221,0.010157,0.031746,-0.310887,0.149580,-0.012212
22305.058295,0,0.156325,0.231279,1.933240,0.288086,0.521973,0.043060,0.998562,-0.041637,0.011707,0.031671,-0.363792,0.162397,-0.005812
22305.158277,0,0.189240,0.290216,1.930983,0.327148,0.602051,0.042389,0.998317,-0.046820,0.013760,0.031325,-0.315796,0.159670,-0.012937
22305.258274,0,0.225531,0.357154,1.928723,0.368896,0.688965,0.062073,0.998130,-0.050634,0.015705,0.030423,-0.389427,0.149853,-0.022856
22305.358260,0,0.265804,0.432775,1.927353,0.411133,0.779785,0.090271,0.997946,-0.054878,0.016136,0.028826,-0.431696,0.117673,-0.018306
22305.458303,0,0.310128,0.518813,1.927073,0.454102,0.879883,0.125854,0.997647,-0.060405,0.016485,0.027931,-0.503418,0.169215,-0.001178
22305.558309,0,0.358045,0.613838,1.923307,0.496338,0.984863,0.130493,0.997206,-0.067146,0.016854,0.028080,-0.519235,0.221848,0.009068
22305.658265,0,0.409258,0.719357,1.919905,0.542969,1.099609,0.134888,0.997127,-0.067621,0.017542,0.029270,-0.636500,0.235483,0.017317
22305.758262,0,0.464809,0.838199,1.915638,0.598145,1.221680,0.174438,0.996383,-0.076362,0.020171,0.031351,-0.463603,0.201804,-0.033509
22305.858260,0,0.523988,0.965973,1.914142,0.642090,1.344727,0.199341,0.996296,-0.077795,0.021483,0.029672,-0.619046,0.229484,-0.049531
22305.958315,0,0.589198,1.108521,1.910723,0.702148,1.489258,0.240112,0.995935,-0.083016,0.021518,0.027538,-0.591230,0.102743,-0.038793
22306.058323,0,0.659325,1.264264,1.907763,0.751953,1.621094,0.264648,0.995805,-0.085301,0.016705,0.028593,-0.590139,0.188305,-0.050008
22306.158250,0,0.732288,1.432422,1.907198,0.790527,1.753906,0.306885,0.995558,-0.088297,0.015827,0.028588,-0.849757,0.265890,-0.081471
